"total_rewards","action_rewards","opinion_rewards"
18646,3708,14938
17584,2907,14677
17815,3090,14725
17821,3007,14814
17892,3110,14782
17690,3115,14575
17981,3200,14781
18946,3989,14957
18080,3238,14842
18610,3619,14991
18326,3407,14919
18654,3713,14941
18723,3852,14871
18426,3545,14881
18831,3674,15157
18237,3332,14905
18487,3478,15009
18342,3328,15014
18156,3485,14671
17991,3221,14770
17760,3164,14596
18188,3341,14847
18489,3542,14947
18392,3576,14816
18997,3934,15063
17872,3103,14769
18514,3732,14782
18137,3385,14752
17662,3040,14622
18689,3568,15121
17766,3026,14740
18667,3655,15012
18844,3766,15078
18449,3700,14749
18539,3726,14813
18190,3321,14869
18272,3383,14889
17637,2867,14770
18358,3584,14774
19052,4082,14970
16855,2453,14402
18487,3592,14895
19184,4144,15040
19315,4197,15118
18660,3752,14908
19182,4091,15091
19173,4005,15168
17739,3029,14710
18813,3847,14966
18923,4048,14875
17420,2716,14704
18488,3695,14793
18620,3686,14934
18426,3640,14786
18644,3736,14908
18323,3478,14845
19174,4089,15085
18787,3899,14888
19191,4097,15094
18913,3993,14920
18903,3883,15020
19124,4146,14978
18797,3960,14837
17954,3333,14621
19316,4092,15224
18554,3577,14977
18779,3761,15018
18069,3345,14724
18845,3801,15044
19372,4383,14989
19043,3976,15067
19069,4068,15001
19632,4412,15220
19411,4275,15136
18759,3867,14892
18963,4015,14948
19789,4686,15103
19078,4198,14880
18613,3807,14806
18423,3518,14905
19666,4497,15169
17878,3275,14603
19625,4459,15166
19175,4254,14921
19556,4448,15108
19133,4138,14995
18700,3802,14898
19645,4519,15126
19101,4162,14939
18297,3590,14707
19644,4481,15163
19416,4350,15066
19533,4531,15002
18761,3953,14808
19604,4516,15088
18850,3878,14972
19749,4628,15121
19073,4009,15064
19574,4569,15005
19298,4303,14995
19688,4545,15143
19924,4751,15173
19883,4723,15160
19268,4262,15006
19846,4735,15111
20095,4866,15229
19986,4827,15159
19901,4875,15026
17787,3160,14627
20193,4893,15300
19257,4283,14974
20123,4871,15252
18980,4064,14916
19744,4669,15075
20575,5262,15313
20262,5175,15087
19905,4830,15075
17916,3362,14554
19354,4462,14892
20540,5280,15260
20467,5274,15193
20257,5147,15110
19673,4820,14853
19815,4763,15052
20135,5171,14964
18334,3705,14629
20649,5345,15304
20096,4925,15171
20081,5074,15007
19452,4641,14811
19110,4176,14934
20263,5179,15084
19830,4813,15017
20200,5009,15191
20176,5299,14877
20021,5038,14983
19934,4914,15020
20091,4966,15125
20548,5451,15097
20378,5366,15012
19060,4290,14770
20148,5042,15106
20437,5377,15060
20720,5443,15277
20626,5440,15186
19944,4950,14994
20375,5363,15012
20043,5138,14905
20071,5130,14941
20821,5599,15222
21397,6076,15321
20623,5534,15089
19788,4839,14949
19866,5067,14799
20847,5756,15091
20581,5504,15077
19996,5172,14824
20834,5752,15082
19770,4888,14882
21198,5978,15220
20057,5141,14916
20548,5394,15154
21142,6014,15128
20703,5708,14995
20576,5550,15026
21663,6367,15296
21466,6124,15342
19803,5199,14604
21013,6003,15010
21054,5926,15128
21030,5900,15130
20351,5522,14829
20981,6006,14975
20325,5616,14709
20967,5944,15023
21128,6034,15094
21790,6565,15225
22173,6793,15380
20419,5406,15013
20525,5614,14911
21501,6359,15142
21495,6312,15183
21182,6188,14994
20984,6016,14968
21402,6333,15069
21159,6043,15116
21443,6321,15122
21767,6609,15158
21601,6561,15040
21686,6477,15209
21306,6264,15042
20663,5939,14724
21513,6513,15000
21966,6765,15201
21595,6541,15054
20539,5638,14901
21277,6249,15028
21271,6285,14986
22217,7030,15187
20552,5784,14768
21477,6517,14960
21654,6564,15090
21031,6169,14862
21355,6388,14967
21999,6846,15153
20954,6172,14782
22019,6911,15108
22050,6845,15205
20815,5904,14911
20556,5784,14772
22344,7230,15114
22025,6959,15066
21640,6639,15001
22727,7417,15310
21048,6216,14832
22150,7179,14971
20790,6097,14693
21794,6746,15048
22467,7339,15128
22093,7128,14965
21935,6941,14994
22429,7363,15066
21354,6479,14875
21503,6649,14854
21273,6545,14728
22167,7135,15032
21300,6628,14672
21401,6495,14906
22442,7377,15065
22994,7775,15219
21772,6924,14848
22374,7352,15022
21880,7024,14856
22318,7320,14998
21017,6308,14709
22459,7335,15124
21948,6902,15046
22495,7470,15025
21952,7136,14816
22822,7826,14996
22260,7295,14965
22224,7500,14724
21856,7035,14821
22353,7299,15054
22317,7539,14778
21680,6867,14813
20826,6412,14414
21711,7006,14705
22630,7659,14971
22757,7890,14867
20709,6212,14497
22274,7422,14852
20658,6145,14513
22015,7269,14746
22377,7435,14942
21703,7044,14659
21719,7014,14705
22138,7332,14806
22637,7695,14942
21409,6772,14637
19957,5541,14416
22199,7520,14679
22469,7638,14831
21941,7308,14633
22833,7964,14869
22520,7775,14745
22580,7768,14812
23156,8212,14944
20940,6505,14435
22694,8003,14691
22765,7860,14905
23092,8060,15032
22595,7740,14855
22462,7760,14702
21409,6789,14620
22448,7768,14680
22156,7485,14671
21625,7210,14415
22423,7703,14720
23001,8381,14620
21033,6685,14348
22979,8232,14747
23031,8190,14841
22671,7953,14718
22059,7615,14444
23222,8227,14995
22979,8086,14893
23010,8255,14755
22845,8171,14674
23093,8337,14756
22300,7671,14629
22751,8092,14659
22646,7895,14751
23062,8292,14770
21874,7386,14488
22958,8362,14596
22537,7928,14609
22484,7911,14573
22690,8092,14598
22936,8179,14757
22570,7879,14691
23392,8774,14618
22583,8026,14557
23451,8759,14692
22462,7842,14620
22322,7820,14502
21714,7249,14465
22290,7690,14600
23293,8540,14753
22537,7913,14624
23869,9040,14829
23269,8648,14621
23116,8440,14676
23334,8695,14639
22154,7657,14497
22659,8183,14476
21789,7450,14339
19880,5960,13920
22740,8174,14566
22088,7690,14398
22401,7882,14519
22153,7788,14365
22554,8015,14539
23228,8616,14612
23114,8435,14679
21882,7505,14377
23584,8925,14659
22678,8307,14371
22362,8033,14329
22299,7922,14377
23584,8943,14641
22944,8495,14449
23458,8825,14633
21224,7158,14066
23907,9205,14702
23785,9208,14577
23201,8530,14671
22575,8221,14354
22923,8378,14545
23414,8876,14538
23347,8786,14561
21915,7623,14292
23347,8774,14573
22501,8219,14282
22049,7822,14227
24053,9530,14523
22983,8343,14640
23602,9035,14567
23807,9254,14553
23173,8826,14347
24015,9559,14456
23577,9083,14494
22914,8515,14399
24021,9412,14609
22022,7950,14072
22944,8647,14297
22856,8415,14441
21955,7759,14196
22740,8255,14485
23032,8607,14425
22988,8490,14498
23877,9396,14481
22578,8437,14141
22501,8233,14268
22601,8278,14323
23316,9034,14282
22559,8420,14139
22583,8338,14245
23681,9241,14440
23933,9589,14344
23201,8900,14301
23696,9321,14375
22275,8094,14181
22279,8229,14050
22949,8767,14182
24109,9653,14456
24123,9726,14397
23298,8976,14322
23960,9465,14495
23473,9072,14401
22614,8532,14082
23925,9459,14466
23530,9339,14191
23297,9056,14241
