total_rewards_sp0,total_rewards_sp1,total_rewards_sp2,filter_rewards_sp0,filter_rewards_sp1,filter_rewards_sp2,answer_rewards_sp0,answer_rewards_sp1,answer_rewards_sp2,loss4_sp0,loss4_sp1,loss4_sp2,loss5_sp0,loss5_sp1,loss5_sp2
-146.0,54.0,-133.0,-8.0,-58.0,36.0,-138.0,112.0,-169.0,70.62046813964844,78.4076919555664,68.70819854736328,70.46965026855469,79.5635757446289,67.58865356445312
-139.0,-28.0,48.0,-102.0,-12.0,84.0,-37.0,-16.0,-36.0,69.99710845947266,78.70117950439453,68.95738220214844,70.42498779296875,78.99549102783203,68.14653015136719
-77.0,-74.0,42.0,51.0,-41.0,64.0,-128.0,-33.0,-22.0,70.82997131347656,78.60400390625,68.77289581298828,70.33372497558594,78.91401672363281,68.24069213867188
-58.0,16.0,193.0,54.0,-16.0,166.0,-112.0,32.0,27.0,70.84260559082031,78.71041870117188,69.31439208984375,70.2131118774414,79.21707153320312,68.56121826171875
-198.0,14.0,12.0,-16.0,-7.0,64.0,-182.0,21.0,-52.0,70.37305450439453,78.6949691772461,68.75650024414062,69.82815551757812,79.11962890625,68.0560302734375
-147.0,-122.0,-69.0,-49.0,-202.0,-66.0,-98.0,80.0,-3.0,70.16831970214844,77.60694885253906,67.83704376220703,70.41612243652344,78.99615478515625,68.15645599365234
-52.0,-50.0,162.0,82.0,-10.0,152.0,-134.0,-40.0,10.0,70.77339935302734,78.67256927490234,69.18131256103516,69.86863708496094,78.97892761230469,68.45635986328125
-42.0,-60.0,179.0,-28.0,-48.0,58.0,-14.0,-12.0,121.0,70.24530792236328,78.36637115478516,68.55287170410156,70.2533950805664,78.79058837890625,68.81861114501953
-350.0,-95.0,104.0,-138.0,-78.0,20.0,-212.0,-17.0,84.0,69.53569030761719,78.20620727539062,68.25043487548828,69.53645324707031,78.7762451171875,68.51214599609375
-183.0,-43.0,112.0,-101.0,-51.0,74.0,-82.0,8.0,38.0,69.6967544555664,78.30577087402344,68.61336517333984,70.36309814453125,78.82243347167969,68.37290954589844
-10.0,-73.0,-146.0,14.0,-89.0,-121.0,-24.0,16.0,-25.0,70.30287170410156,78.10054779052734,67.40569305419922,70.21495056152344,78.96920013427734,67.8158187866211
-239.0,2.0,34.0,-53.0,-62.0,19.0,-186.0,64.0,15.0,69.88279724121094,78.2221450805664,68.2085952758789,69.88072967529297,79.20503234863281,68.04127502441406
-54.0,37.0,43.0,50.0,-23.0,49.0,-104.0,60.0,-6.0,70.41372680664062,78.47821044921875,68.23921203613281,70.04572296142578,79.0733413696289,68.29887390136719
-68.0,-8.0,188.0,-31.0,-8.0,56.0,-37.0,0.0,132.0,69.98867797851562,78.3465347290039,68.32258605957031,70.46183013916016,78.78817749023438,68.62850952148438
-81.0,-47.0,112.0,31.0,4.0,99.0,-112.0,-51.0,13.0,70.33496856689453,78.42398071289062,68.44941711425781,70.17256164550781,78.55923461914062,68.33723449707031
-190.0,30.0,127.0,-76.0,-18.0,39.0,-114.0,48.0,88.0,69.53846740722656,78.42139434814453,68.11044311523438,69.86185455322266,78.925537109375,68.38057708740234
40.0,94.0,-54.0,130.0,-87.0,-50.0,-90.0,181.0,-4.0,70.58403015136719,77.89742279052734,67.73222351074219,70.7254409790039,79.41838836669922,67.74451446533203
-169.0,-104.0,185.0,-29.0,-81.0,86.0,-140.0,-23.0,99.0,69.6263198852539,78.0218734741211,68.3478012084961,69.93428802490234,78.48316192626953,68.38506317138672
-132.0,-5.0,-41.0,6.0,19.0,-60.0,-138.0,-24.0,19.0,69.8415298461914,78.27619171142578,67.58352661132812,69.5621566772461,78.71863555908203,67.91972351074219
-202.0,50.0,153.0,-27.0,-15.0,17.0,-175.0,65.0,136.0,69.64717102050781,78.22251892089844,67.88410949707031,69.72514343261719,78.88162231445312,68.55741119384766
-46.0,-49.0,143.0,77.0,-2.0,152.0,-123.0,-47.0,-9.0,70.28422546386719,78.24064636230469,68.52134704589844,70.12747192382812,78.60237121582031,68.05992126464844
2.0,1.0,87.0,56.0,-32.0,10.0,-54.0,33.0,77.0,70.05670166015625,78.08267211914062,67.69352722167969,70.1592788696289,78.86577606201172,68.1140365600586
-55.0,-80.0,98.0,-29.0,-63.0,86.0,-26.0,-17.0,12.0,69.5063705444336,77.82930755615234,68.10179901123047,70.1133041381836,78.56036376953125,67.9630355834961
-140.0,9.0,121.0,-28.0,-17.0,-6.0,-112.0,26.0,127.0,69.5759048461914,78.10710144042969,67.4998779296875,69.86698913574219,78.72252655029297,68.38968658447266
-157.0,-67.0,80.0,-76.0,-81.0,78.0,-81.0,14.0,2.0,69.06057739257812,77.73252868652344,68.08843994140625,70.0805435180664,78.62770080566406,67.93981170654297
5.0,213.0,115.0,22.0,28.0,28.0,-17.0,185.0,87.0,69.68206024169922,78.27628326416016,67.69074249267578,70.29429626464844,79.43199920654297,68.10366821289062
-71.0,-32.0,103.0,45.0,-47.0,192.0,-116.0,15.0,-89.0,69.72712707519531,77.83050537109375,68.51485443115234,70.28166198730469,78.53990173339844,67.74095153808594
-188.0,130.0,120.0,-107.0,3.0,104.0,-81.0,127.0,16.0,68.80990600585938,77.97315216064453,68.01979064941406,69.76677703857422,78.95030975341797,67.88704681396484
-146.0,-12.0,106.0,-131.0,2.0,147.0,-15.0,-14.0,-41.0,68.68710327148438,78.05403900146484,68.13301086425781,69.93728637695312,78.54240417480469,67.76488494873047
-75.0,1.0,81.0,24.0,-33.0,83.0,-99.0,34.0,-2.0,69.43451690673828,77.91312408447266,67.75007629394531,69.79371643066406,78.47052764892578,67.94440460205078
-28.0,92.0,71.0,18.0,39.0,-7.0,-46.0,53.0,78.0,69.3703842163086,78.18892669677734,67.24468231201172,69.8921127319336,78.72098541259766,68.06088256835938
-107.0,137.0,120.0,8.0,30.0,132.0,-115.0,107.0,-12.0,69.26753997802734,78.09783935546875,67.93630981445312,69.55513000488281,78.91508483886719,67.8885726928711
-16.0,-1.0,181.0,30.0,-40.0,122.0,-46.0,39.0,59.0,69.32577514648438,77.63318634033203,67.83181762695312,69.95213317871094,78.55147552490234,68.03568267822266
-90.0,-46.0,138.0,-110.0,-49.0,148.0,20.0,3.0,-10.0,68.44782257080078,77.59510803222656,68.00518035888672,70.02179718017578,78.4089126586914,67.79678344726562
67.0,19.0,223.0,28.0,20.0,148.0,39.0,-1.0,75.0,69.1456298828125,78.05742645263672,67.86861419677734,70.17009735107422,78.42481994628906,68.15055847167969
131.0,-30.0,-114.0,154.0,-36.0,46.0,-23.0,6.0,-160.0,69.8058090209961,77.65300750732422,67.29641723632812,70.23796844482422,78.29784393310547,67.01526641845703
-32.0,-14.0,189.0,22.0,-7.0,129.0,-54.0,-7.0,60.0,68.99602508544922,77.72166442871094,67.7181625366211,69.53714752197266,78.50346374511719,68.02767944335938
-159.0,73.0,140.0,-14.0,26.0,15.0,-145.0,47.0,125.0,68.70187377929688,77.84642028808594,67.1305160522461,69.36056518554688,78.57791900634766,68.1028823852539
-27.0,-82.0,236.0,83.0,-101.0,132.0,-110.0,19.0,104.0,69.2764663696289,77.12384033203125,67.550537109375,69.87806701660156,78.38701629638672,67.96858978271484
