"total_rewards","action_rewards","opinion_rewards"
18371,3422,14949
17704,2970,14734
18258,3378,14880
17797,3018,14779
18526,3473,15053
18780,3641,15139
18542,3633,14909
18076,3263,14813
17520,2760,14760
18086,3255,14831
18191,3436,14755
17986,3164,14822
18778,3698,15080
18377,3411,14966
18458,3551,14907
18328,3249,15079
17856,3075,14781
18318,3432,14886
18343,3430,14913
18139,3308,14831
18433,3415,15018
18502,3547,14955
18421,3407,15014
19058,3992,15066
18640,3667,14973
18553,3628,14925
18967,3958,15009
18225,3313,14912
17607,2795,14812
18803,3678,15125
18696,3754,14942
18057,3295,14762
17742,2955,14787
16737,2332,14405
18155,3346,14809
19388,4135,15253
18645,3645,15000
17742,2861,14881
18531,3654,14877
19119,4021,15098
18827,3787,15040
18649,3685,14964
18962,3902,15060
16805,2437,14368
19493,4373,15120
19319,4011,15308
19078,3964,15114
19019,3988,15031
18569,3544,15025
19093,4121,14972
18555,3695,14860
18539,3695,14844
17714,2945,14769
18495,3490,15005
19235,4119,15116
19135,4045,15090
18795,3822,14973
18199,3511,14688
19357,4367,14990
18930,4015,14915
19061,3952,15109
19270,4104,15166
17940,3202,14738
19088,4015,15073
18277,3530,14747
17097,2474,14623
19589,4398,15191
18475,3746,14729
18704,3811,14893
18774,3984,14790
19276,4275,15001
17087,2669,14418
17769,2977,14792
18331,3502,14829
18777,3914,14863
19332,4324,15008
19663,4505,15158
19469,4370,15099
19648,4515,15133
19788,4591,15197
19313,4177,15136
19259,4133,15126
20079,4917,15162
19469,4421,15048
19067,4114,14953
19701,4574,15127
19144,4143,15001
19352,4335,15017
19382,4356,15026
19286,4176,15110
19566,4461,15105
20019,4703,15316
19619,4533,15086
19517,4567,14950
19171,4345,14826
19513,4433,15080
20233,5016,15217
18327,3503,14824
19400,4485,14915
20090,4875,15215
18733,4014,14719
18530,3692,14838
19699,4624,15075
19451,4339,15112
19787,4821,14966
19582,4565,15017
18636,3833,14803
19778,4644,15134
19667,4693,14974
20247,4981,15266
19871,4642,15229
19912,4785,15127
19707,4606,15101
19611,4472,15139
18732,3979,14753
19920,4916,15004
20412,5303,15109
20023,4875,15148
20230,5016,15214
19978,4868,15110
19927,4866,15061
20855,5467,15388
19814,4834,14980
19816,4744,15072
20412,5226,15186
19581,4624,14957
20766,5420,15346
20160,5205,14955
19449,4672,14777
20889,5574,15315
20041,5145,14896
19966,4876,15090
20266,5245,15021
20596,5656,14940
20566,5516,15050
20760,5506,15254
20054,5069,14985
21049,5850,15199
19688,4743,14945
20542,5514,15028
20249,5217,15032
18294,3665,14629
19493,4687,14806
20374,5460,14914
21042,5985,15057
20400,5348,15052
20655,5710,14945
21241,6082,15159
20097,5165,14932
20489,5532,14957
21042,5923,15119
20334,5514,14820
20752,5784,14968
20386,5385,15001
21272,6113,15159
20054,5114,14940
21608,6308,15300
21410,6185,15225
20126,5323,14803
21081,6069,15012
21415,6227,15188
21531,6375,15156
21347,6146,15201
19836,4905,14931
20505,5531,14974
20268,5376,14892
21546,6322,15224
20971,5946,15025
20786,6049,14737
21148,5942,15206
20933,5899,15034
21693,6504,15189
20605,5635,14970
21014,6204,14810
19977,5236,14741
21975,6750,15225
22154,6992,15162
21840,6711,15129
21695,6570,15125
20652,5765,14887
21400,6375,15025
21279,6444,14835
21552,6458,15094
21484,6523,14961
21015,6001,15014
21668,6598,15070
20749,6008,14741
21650,6712,14938
20183,5659,14524
21076,6287,14789
19882,5397,14485
21862,6808,15054
21030,6088,14942
21795,6566,15229
19545,5117,14428
21829,6892,14937
21449,6495,14954
21000,6033,14967
22246,7191,15055
21277,6548,14729
20491,5830,14661
21802,6860,14942
21022,6035,14987
22457,7169,15288
20983,6324,14659
21936,6979,14957
21778,6986,14792
22446,7338,15108
22269,7226,15043
21645,6815,14830
21152,6394,14758
21879,7212,14667
22098,7123,14975
22099,7072,15027
22884,7625,15259
21848,6858,14990
22146,7202,14944
22039,7028,15011
21119,6526,14593
21531,6748,14783
20418,5781,14637
23011,7860,15151
21531,6729,14802
21333,6718,14615
21575,6928,14647
21781,6973,14808
22862,7848,15014
22205,7234,14971
20854,6328,14526
21871,7038,14833
22546,7547,14999
21690,7030,14660
21814,6948,14866
22149,7373,14776
21537,6846,14691
21662,6933,14729
22336,7436,14900
21319,6627,14692
22473,7498,14975
21679,6886,14793
21689,6974,14715
22713,7783,14930
21899,7268,14631
21909,7101,14808
22741,7917,14824
23023,8052,14971
22200,7484,14716
22554,7654,14900
21383,6860,14523
21813,7232,14581
21695,7211,14484
19894,5623,14271
22709,7851,14858
22756,7832,14924
21700,7134,14566
22246,7587,14659
21575,6893,14682
22261,7640,14621
22413,7963,14450
21191,6710,14481
21109,6659,14450
21659,6990,14669
22164,7581,14583
22838,7995,14843
22263,7569,14694
22489,7742,14747
22746,7861,14885
21527,7103,14424
22590,7844,14746
22697,7995,14702
22418,7800,14618
22669,7977,14692
22674,8044,14630
22281,7629,14652
22027,7572,14455
21190,6850,14340
22400,7891,14509
22636,7906,14730
21801,7369,14432
22190,7549,14641
22636,8044,14592
21714,7379,14335
