total_rewards_sp0,total_rewards_sp1,total_rewards_sp2,filter_rewards_sp0,filter_rewards_sp1,filter_rewards_sp2,answer_rewards_sp0,answer_rewards_sp1,answer_rewards_sp2,loss4_sp0,loss4_sp1,loss4_sp2,loss5_sp0,loss5_sp1,loss5_sp2
100.0,38.0,-5.0,119.0,12.0,7.0,-19.0,26.0,-12.0,51.15575408935547,83.84123992919922,83.93437957763672,59.466121673583984,87.66011047363281,71.52595520019531
-61.0,-10.0,205.0,-3.0,7.0,28.0,-58.0,-17.0,177.0,50.381324768066406,83.82608795166016,84.06974792480469,59.3140983581543,87.47197723388672,72.23973846435547
98.0,37.0,-148.0,47.0,-15.0,-83.0,51.0,52.0,-65.0,50.643089294433594,83.61335754394531,83.3890151977539,59.47822952270508,87.60964965820312,71.26656341552734
-10.0,73.0,54.0,-44.0,72.0,4.0,34.0,1.0,50.0,50.10350799560547,84.1806411743164,83.77252960205078,59.2796630859375,87.59516143798828,71.7422866821289
100.0,8.0,144.0,51.0,-19.0,-20.0,49.0,27.0,164.0,50.5329704284668,83.59239959716797,83.70638275146484,59.42988586425781,87.47699737548828,72.28154754638672
-191.0,-35.0,-165.0,-73.0,-31.0,-36.0,-118.0,-4.0,-129.0,49.80845642089844,83.45752716064453,83.5276870727539,58.53997802734375,87.42159271240234,70.95512390136719
-173.0,35.0,9.0,-111.0,25.0,-11.0,-62.0,10.0,20.0,49.57829284667969,83.74968719482422,83.65589141845703,58.42893981933594,87.55016326904297,71.85291290283203
-62.0,-14.0,57.0,-3.0,-32.0,0.0,-59.0,18.0,57.0,50.11436462402344,83.43368530273438,83.71785736083984,58.81379318237305,87.4908676147461,71.77362060546875
5.0,115.0,49.0,70.0,83.0,-3.0,-65.0,32.0,52.0,50.459999084472656,84.11569213867188,83.66133880615234,59.51487731933594,87.65397644042969,71.15473937988281
216.0,11.0,-131.0,205.0,2.0,-115.0,11.0,9.0,-16.0,51.14399719238281,83.66201782226562,82.98058319091797,59.58699417114258,87.5910415649414,71.03260040283203
32.0,26.0,-33.0,6.0,4.0,-78.0,26.0,22.0,45.0,50.06941223144531,83.5332260131836,83.18982696533203,59.114288330078125,87.36810302734375,71.66744232177734
97.0,93.0,85.0,104.0,71.0,63.0,-7.0,22.0,22.0,50.488895416259766,83.8008804321289,84.04554748535156,59.196109771728516,87.56363677978516,71.61253356933594
300.0,8.0,-49.0,298.0,-12.0,-26.0,2.0,20.0,-23.0,51.526615142822266,83.4369125366211,83.4420394897461,59.21037673950195,87.47452545166016,71.41590881347656
161.0,18.0,-26.0,246.0,-19.0,23.0,-85.0,37.0,-49.0,51.22675704956055,83.33590698242188,83.7464370727539,59.115901947021484,87.49031066894531,71.23136901855469
294.0,21.0,3.0,190.0,20.0,38.0,104.0,1.0,-35.0,50.85166549682617,83.4287109375,83.79826354980469,59.64731216430664,87.3410873413086,71.31536865234375
106.0,35.0,125.0,166.0,34.0,42.0,-60.0,1.0,83.0,50.75167465209961,83.61641693115234,83.65225219726562,59.20857620239258,87.39459991455078,71.46183776855469
163.0,-6.0,-10.0,244.0,13.0,25.0,-81.0,-19.0,-35.0,51.12390899658203,83.50189208984375,83.51182556152344,59.061676025390625,87.28330993652344,71.20320892333984
242.0,25.0,-40.0,192.0,15.0,-9.0,50.0,10.0,-31.0,50.78778076171875,83.43408203125,83.2989730834961,59.379356384277344,87.39192962646484,71.1722183227539
175.0,31.0,3.0,245.0,9.0,-7.0,-70.0,22.0,10.0,51.00739669799805,83.32469177246094,83.39642333984375,59.234310150146484,87.39865112304688,71.05701446533203
159.0,8.0,126.0,215.0,-26.0,40.0,-56.0,34.0,86.0,50.817909240722656,83.0139389038086,83.56092071533203,58.95415115356445,87.41187286376953,71.51202392578125
143.0,34.0,37.0,202.0,21.0,47.0,-59.0,13.0,-10.0,50.66646194458008,83.38518524169922,83.58125305175781,58.91788101196289,87.34391784667969,71.21160888671875
196.0,20.0,83.0,209.0,-2.0,58.0,-13.0,22.0,25.0,50.59437942504883,83.08821868896484,83.69047546386719,59.198612213134766,87.31542205810547,71.23196411132812
82.0,16.0,110.0,140.0,15.0,-19.0,-58.0,1.0,129.0,50.18195724487305,83.11837005615234,83.19554901123047,59.00902557373047,87.1563720703125,71.3463363647461
206.0,76.0,46.0,213.0,21.0,-12.0,-7.0,55.0,58.0,50.61265182495117,83.26333618164062,83.12887573242188,58.95603561401367,87.40875244140625,71.43871307373047
438.0,63.0,144.0,375.0,56.0,54.0,63.0,7.0,90.0,51.415199279785156,83.41514587402344,83.49639892578125,59.71636962890625,87.2613296508789,71.4967041015625
296.0,64.0,1.0,284.0,56.0,-4.0,12.0,8.0,5.0,50.836788177490234,83.42013549804688,83.14277648925781,59.6472053527832,87.16805267333984,70.76789855957031
209.0,31.0,99.0,170.0,-18.0,-22.0,39.0,49.0,121.0,50.09263229370117,82.96759796142578,83.05337524414062,59.034934997558594,87.28202056884766,71.48661804199219
218.0,59.0,32.0,255.0,47.0,33.0,-37.0,12.0,-1.0,50.61228561401367,83.27812194824219,83.1932601928711,58.768470764160156,87.11968231201172,71.29753112792969
240.0,66.0,80.0,260.0,54.0,10.0,-20.0,12.0,70.0,50.52853012084961,83.19750213623047,83.11188507080078,58.921241760253906,87.23603057861328,71.33458709716797
256.0,75.0,45.0,197.0,57.0,44.0,59.0,18.0,1.0,50.07595443725586,83.27488708496094,83.29498291015625,59.33897018432617,87.23149108886719,70.87672424316406
454.0,2.0,-7.0,465.0,23.0,30.0,-11.0,-21.0,-37.0,51.50465393066406,82.98218536376953,83.2606201171875,59.22917175292969,86.97820281982422,71.02259826660156
499.0,65.0,34.0,359.0,78.0,49.0,140.0,-13.0,-15.0,50.845115661621094,83.32034301757812,83.26473999023438,59.80306625366211,87.04963684082031,70.79124450683594
406.0,158.0,100.0,316.0,80.0,76.0,90.0,78.0,24.0,50.66676330566406,83.27596282958984,83.2887191772461,59.23599624633789,87.55449676513672,71.05176544189453
25.0,-5.0,-11.0,118.0,1.0,-19.0,-93.0,-6.0,8.0,49.386497497558594,82.74368286132812,82.83248901367188,58.53813934326172,86.91150665283203,70.62818908691406
407.0,53.0,78.0,252.0,69.0,64.0,155.0,-16.0,14.0,50.05172348022461,83.12953186035156,83.21577453613281,59.33796310424805,87.02127075195312,71.1008529663086
317.0,-26.0,84.0,247.0,14.0,23.0,70.0,-40.0,61.0,50.052425384521484,82.8340072631836,82.92533111572266,59.10342788696289,86.98393249511719,70.91471862792969
234.0,37.0,21.0,355.0,-5.0,-8.0,-121.0,42.0,29.0,50.69392776489258,82.61482238769531,82.61499786376953,58.36610412597656,87.08184814453125,71.0342788696289
318.0,4.0,178.0,300.0,15.0,45.0,18.0,-11.0,133.0,50.1420783996582,82.68158721923828,82.97586059570312,58.89493179321289,86.90617370605469,71.30339050292969
489.0,97.0,172.0,448.0,118.0,60.0,41.0,-21.0,112.0,50.90270233154297,83.27778625488281,83.0338134765625,59.040767669677734,87.09229278564453,71.5245361328125
299.0,-4.0,60.0,291.0,39.0,-48.0,8.0,-43.0,108.0,49.97889709472656,82.73494720458984,82.32661437988281,58.64311218261719,86.87454223632812,71.19993591308594
610.0,40.0,-36.0,484.0,24.0,-50.0,126.0,16.0,14.0,50.97520065307617,82.67131805419922,82.28750610351562,59.5422477722168,87.01461029052734,70.65995788574219
498.0,59.0,133.0,400.0,82.0,42.0,98.0,-23.0,91.0,50.334503173828125,82.93922424316406,82.84367370605469,59.37098693847656,86.9354019165039,70.8175048828125
589.0,44.0,123.0,430.0,53.0,65.0,159.0,-9.0,58.0,50.412315368652344,82.83739471435547,82.93961334228516,59.53723907470703,86.84707641601562,70.95795440673828
563.0,146.0,239.0,529.0,104.0,53.0,34.0,42.0,186.0,51.015262603759766,83.02722930908203,82.7399673461914,59.51585388183594,87.01516723632812,71.20855712890625
448.0,58.0,145.0,463.0,49.0,50.0,-15.0,9.0,95.0,50.64141082763672,82.6467514038086,82.63888549804688,58.88032150268555,86.9147720336914,70.98863220214844
756.0,177.0,196.0,492.0,108.0,74.0,264.0,69.0,122.0,50.66839599609375,82.90940856933594,82.80300903320312,59.936405181884766,87.10567474365234,71.28446960449219
763.0,32.0,91.0,566.0,45.0,35.0,197.0,-13.0,56.0,50.89669418334961,82.47639465332031,82.55520629882812,59.87666320800781,86.84152221679688,70.53093719482422
706.0,60.0,298.0,514.0,18.0,43.0,192.0,42.0,255.0,50.63364791870117,82.30333709716797,82.490478515625,59.404701232910156,86.98411560058594,71.68267059326172
596.0,83.0,146.0,470.0,31.0,-1.0,126.0,52.0,147.0,50.28809356689453,82.42877197265625,82.23738098144531,59.4681282043457,86.99427795410156,70.84838104248047
536.0,29.0,214.0,479.0,28.0,30.0,57.0,1.0,184.0,50.29252243041992,82.29985046386719,82.33075714111328,58.986366271972656,86.76177215576172,71.14187622070312
749.0,69.0,71.0,597.0,34.0,31.0,152.0,35.0,40.0,50.722755432128906,82.27863311767578,82.44286346435547,59.59231948852539,86.88170623779297,70.50775146484375
696.0,167.0,170.0,459.0,141.0,76.0,237.0,26.0,94.0,50.08564758300781,82.84672546386719,82.46775817871094,59.67498016357422,87.0761947631836,70.64669036865234
815.0,145.0,64.0,596.0,126.0,18.0,219.0,19.0,46.0,50.67076873779297,82.62806701660156,82.1630630493164,59.65724182128906,86.86376953125,70.47805786132812
642.0,109.0,175.0,508.0,81.0,52.0,134.0,28.0,123.0,50.12140655517578,82.31475067138672,82.31763458251953,59.56477737426758,86.86949157714844,70.4425277709961
719.0,32.0,185.0,631.0,23.0,8.0,88.0,9.0,177.0,50.664310455322266,82.02202606201172,82.02201843261719,59.191463470458984,86.61040496826172,70.95975494384766
609.0,114.0,121.0,468.0,99.0,2.0,141.0,15.0,119.0,49.73039627075195,82.36235046386719,81.90784454345703,59.25066375732422,86.87752532958984,70.4327163696289
578.0,81.0,223.0,557.0,84.0,75.0,21.0,-3.0,148.0,50.0438117980957,81.8494873046875,82.26825714111328,58.949462890625,86.5159912109375,70.74917602539062
795.0,137.0,209.0,625.0,177.0,63.0,170.0,-40.0,146.0,50.315547943115234,82.61627960205078,82.25494384765625,59.327796936035156,86.70846557617188,70.82011413574219
670.0,13.0,280.0,571.0,47.0,59.0,99.0,-34.0,221.0,49.94677734375,81.77401733398438,82.09539794921875,59.07656478881836,86.34331512451172,71.01187133789062
882.0,120.0,128.0,686.0,101.0,-5.0,196.0,19.0,133.0,50.524383544921875,82.23711395263672,81.61968994140625,59.605953216552734,86.77519989013672,70.4672622680664
776.0,126.0,185.0,567.0,101.0,18.0,209.0,25.0,167.0,49.78227233886719,82.15101623535156,81.71259307861328,59.49833297729492,86.75943756103516,70.55487823486328
743.0,106.0,223.0,605.0,52.0,46.0,138.0,54.0,177.0,49.86064147949219,81.27884674072266,81.84400939941406,59.182674407958984,86.51346588134766,70.79778289794922
744.0,119.0,393.0,744.0,111.0,25.0,0.0,8.0,368.0,50.60045623779297,82.01565551757812,81.60189819335938,58.86748504638672,86.65715026855469,71.33454132080078
904.0,31.0,153.0,727.0,54.0,27.0,177.0,-23.0,126.0,50.331356048583984,81.76700592041016,81.6190414428711,59.644134521484375,86.4241943359375,70.27421569824219
871.0,45.0,154.0,711.0,39.0,72.0,160.0,6.0,82.0,50.195343017578125,81.5876693725586,81.7451171875,59.44089126586914,86.57127380371094,70.12303924560547
