total_rewards_sp0,total_rewards_sp1,total_rewards_sp2,filter_rewards_sp0,filter_rewards_sp1,filter_rewards_sp2,answer_rewards_sp0,answer_rewards_sp1,answer_rewards_sp2,loss4_sp0,loss4_sp1,loss4_sp2,loss5_sp0,loss5_sp1,loss5_sp2
67.0,15.0,113.0,80.0,4.0,22.0,-13.0,11.0,91.0,49.47623825073242,85.5259780883789,83.9315185546875,60.65576934814453,88.30734252929688,70.87237548828125
117.0,-10.0,-29.0,158.0,-65.0,62.0,-41.0,55.0,-91.0,49.79676818847656,85.14820861816406,84.2155532836914,60.93183517456055,88.377685546875,69.98068237304688
-52.0,-8.0,64.0,-34.0,-8.0,67.0,-18.0,0.0,-3.0,48.730079650878906,85.37702941894531,84.18059539794922,60.71745300292969,88.09088897705078,70.3905258178711
58.0,82.0,-7.0,45.0,46.0,-60.0,13.0,36.0,53.0,49.15678024291992,85.76193237304688,83.38497924804688,60.16513442993164,88.45601654052734,70.78421020507812
-86.0,-11.0,-52.0,-13.0,-3.0,-60.0,-73.0,-8.0,8.0,48.77059555053711,85.45973205566406,83.32646942138672,60.24631118774414,88.17640686035156,70.22710418701172
42.0,-26.0,-12.0,45.0,-9.0,2.0,-3.0,-17.0,-14.0,48.978172302246094,85.4119644165039,83.73605346679688,60.54526138305664,88.1614990234375,70.19207763671875
-212.0,35.0,-76.0,-117.0,24.0,-97.0,-95.0,11.0,21.0,48.01011657714844,85.60317993164062,83.13430786132812,59.77195739746094,88.28074645996094,70.16731262207031
-141.0,-26.0,90.0,-49.0,-35.0,88.0,-92.0,9.0,2.0,48.406124114990234,85.19786834716797,84.12284851074219,59.84004211425781,88.13851165771484,70.55517578125
160.0,41.0,64.0,126.0,8.0,-12.0,34.0,33.0,76.0,49.31968688964844,85.36425018310547,83.49369812011719,60.37924575805664,88.23681640625,70.68514251708984
25.0,-46.0,12.0,94.0,18.0,31.0,-69.0,-64.0,-19.0,49.13681411743164,85.43191528320312,83.65045166015625,60.281497955322266,87.99903869628906,70.0978775024414
11.0,71.0,131.0,-17.0,22.0,17.0,28.0,49.0,114.0,48.43882369995117,85.4634017944336,83.6222152709961,60.41798782348633,88.37222290039062,70.70870971679688
78.0,13.0,52.0,210.0,-9.0,-49.0,-132.0,22.0,101.0,49.68999481201172,85.25389862060547,83.20529174804688,60.097476959228516,88.2496566772461,70.35627746582031
113.0,-36.0,14.0,131.0,-5.0,-9.0,-18.0,-31.0,23.0,49.260589599609375,85.2061996459961,83.3450927734375,60.28971481323242,87.92439270019531,70.3869400024414
53.0,65.0,15.0,60.0,75.0,-41.0,-7.0,-10.0,56.0,48.74342346191406,85.58940887451172,83.21414947509766,60.46118927001953,88.10799407958984,70.02854919433594
-33.0,63.0,87.0,38.0,56.0,26.0,-71.0,7.0,61.0,48.489173889160156,85.49551391601562,83.61260986328125,59.94021987915039,88.25938415527344,70.32987213134766
207.0,0.0,15.0,174.0,-17.0,-37.0,33.0,17.0,52.0,49.25218200683594,85.070556640625,83.21212005615234,60.586509704589844,88.1733627319336,70.24742126464844
-113.0,-58.0,152.0,1.0,-36.0,19.0,-114.0,-22.0,133.0,48.28987503051758,84.92095947265625,83.4465560913086,59.783935546875,87.96849060058594,70.34959411621094
161.0,-23.0,-32.0,131.0,-15.0,-28.0,30.0,-8.0,-4.0,48.96744918823242,85.01787567138672,83.17659759521484,60.60570526123047,87.93326568603516,69.90907287597656
24.0,55.0,68.0,89.0,14.0,26.0,-65.0,41.0,42.0,48.61893844604492,85.17276763916016,83.45330047607422,60.18722915649414,88.1426010131836,70.07856750488281
75.0,42.0,141.0,167.0,25.0,-46.0,-92.0,17.0,187.0,49.02437210083008,85.24951934814453,82.98352813720703,60.03605270385742,88.12789154052734,70.61804962158203
269.0,-43.0,65.0,244.0,-25.0,19.0,25.0,-18.0,46.0,49.37129211425781,84.70498657226562,83.474609375,60.51039505004883,87.83353424072266,70.22954559326172
-83.0,-10.0,49.0,-53.0,-2.0,-23.0,-30.0,-8.0,72.0,47.68780517578125,85.00265502929688,83.06287384033203,60.069217681884766,87.91988372802734,69.92415618896484
122.0,38.0,106.0,209.0,2.0,-35.0,-87.0,36.0,141.0,49.14971160888672,84.9521484375,82.97010803222656,60.0711555480957,88.02066040039062,70.41523742675781
240.0,24.0,94.0,311.0,5.0,26.0,-71.0,19.0,68.0,49.60444259643555,84.99307250976562,83.32818603515625,60.395240783691406,88.05284881591797,70.00353240966797
308.0,10.0,78.0,304.0,24.0,7.0,4.0,-14.0,71.0,49.52565002441406,85.04959106445312,83.11490631103516,60.664974212646484,87.90747833251953,70.01091003417969
72.0,115.0,224.0,152.0,97.0,69.0,-80.0,18.0,155.0,48.56275939941406,85.41863250732422,83.49803161621094,60.077117919921875,88.12454223632812,70.4150619506836
170.0,30.0,88.0,141.0,-30.0,48.0,29.0,60.0,40.0,48.57817840576172,84.70311737060547,83.21412658691406,60.21186065673828,88.01313781738281,70.16221618652344
275.0,54.0,176.0,194.0,14.0,56.0,81.0,40.0,120.0,48.774559020996094,84.87150573730469,83.32606506347656,60.38654327392578,87.93580627441406,70.61225891113281
322.0,-64.0,170.0,272.0,-28.0,44.0,50.0,-36.0,126.0,49.09832000732422,84.61100006103516,83.23025512695312,60.49543380737305,87.67070770263672,70.30296325683594
-157.0,-25.0,10.0,32.0,-34.0,-39.0,-189.0,9.0,49.0,47.71274185180664,84.5027847290039,82.72064208984375,58.961463928222656,87.78863525390625,70.00089263916016
245.0,33.0,79.0,261.0,35.0,-41.0,-16.0,-2.0,120.0,48.94503402709961,84.7286376953125,82.71429443359375,60.23876190185547,87.93046569824219,69.85359954833984
208.0,61.0,120.0,210.0,60.0,20.0,-2.0,1.0,100.0,48.704368591308594,85.06175231933594,82.85179138183594,60.37847137451172,87.9766616821289,69.84056091308594
272.0,78.0,178.0,342.0,65.0,-15.0,-70.0,13.0,193.0,49.19545364379883,85.08658599853516,82.73322296142578,59.86005401611328,87.9359130859375,70.48915100097656
337.0,64.0,10.0,356.0,75.0,-71.0,-19.0,-11.0,81.0,49.26110076904297,85.07615661621094,82.39026641845703,60.28216552734375,87.78653717041016,69.83682250976562
262.0,100.0,171.0,362.0,48.0,20.0,-100.0,52.0,151.0,49.26414108276367,84.87564849853516,82.85267639160156,60.063568115234375,87.96548461914062,70.13361358642578
280.0,77.0,191.0,289.0,9.0,28.0,-9.0,68.0,163.0,48.81605529785156,84.60479736328125,82.82134246826172,59.93357467651367,88.03431701660156,70.31979370117188
517.0,-9.0,203.0,394.0,-14.0,128.0,123.0,5.0,75.0,49.32958984375,84.39701843261719,83.34426879882812,60.787410736083984,87.69563293457031,70.03242492675781
421.0,0.0,183.0,290.0,-27.0,13.0,131.0,27.0,170.0,48.746768951416016,84.29286193847656,82.58219909667969,60.43764114379883,87.81781005859375,70.26237487792969
442.0,35.0,229.0,450.0,31.0,43.0,-8.0,4.0,186.0,49.548133850097656,84.59579467773438,82.75311279296875,60.644805908203125,87.89553833007812,69.89114379882812
179.0,8.0,105.0,159.0,-31.0,69.0,20.0,39.0,36.0,47.727115631103516,84.2718734741211,82.9842758178711,59.794681549072266,87.72748565673828,69.7746353149414
397.0,35.0,83.0,265.0,44.0,6.0,132.0,-9.0,77.0,48.3736686706543,84.63556671142578,82.48798370361328,60.40346908569336,87.73517608642578,69.64887237548828
