total_rewards_sp0,total_rewards_sp1,total_rewards_sp2,filter_rewards_sp0,filter_rewards_sp1,filter_rewards_sp2,answer_rewards_sp0,answer_rewards_sp1,answer_rewards_sp2,loss4_sp0,loss4_sp1,loss4_sp2,loss5_sp0,loss5_sp1,loss5_sp2
99.0,58.0,-51.0,108.0,46.0,-34.0,-9.0,12.0,-17.0,51.617332458496094,83.3121566772461,83.82322692871094,60.94819259643555,87.3396224975586,70.89604949951172
35.0,86.0,7.0,129.0,83.0,-12.0,-94.0,3.0,19.0,51.66002655029297,83.51148223876953,84.00235748291016,60.567996978759766,87.4382553100586,71.02149963378906
185.0,124.0,-127.0,212.0,123.0,-63.0,-27.0,1.0,-64.0,52.09501266479492,83.81104278564453,83.5810775756836,60.776283264160156,87.41968536376953,70.78369903564453
114.0,58.0,1.0,62.0,76.0,61.0,52.0,-18.0,-60.0,51.184356689453125,83.29125213623047,84.29113006591797,60.93473434448242,87.12909698486328,70.90484619140625
63.0,39.0,31.0,-63.0,24.0,0.0,126.0,15.0,31.0,50.42152404785156,83.07889556884766,83.97142028808594,60.89591979980469,87.1850357055664,71.31903076171875
-41.0,53.0,-92.0,19.0,48.0,-14.0,-60.0,5.0,-78.0,50.92477035522461,83.2340316772461,83.74463653564453,60.43729019165039,87.19566345214844,70.58968353271484
269.0,60.0,209.0,158.0,41.0,0.0,111.0,19.0,209.0,51.60615921020508,83.08277893066406,83.90605163574219,61.05667495727539,87.23108673095703,71.92486572265625
187.0,-12.0,-15.0,119.0,28.0,39.0,68.0,-40.0,-54.0,51.38931655883789,83.05084991455078,84.07366943359375,60.96200180053711,86.92051696777344,70.79824829101562
65.0,120.0,-95.0,69.0,79.0,-24.0,-4.0,41.0,-71.0,51.04812240600586,83.31455993652344,83.65505981445312,60.52400588989258,87.39373016357422,70.6733169555664
87.0,20.0,-90.0,91.0,-19.0,13.0,-4.0,39.0,-103.0,51.13187789916992,82.71432495117188,83.85276794433594,60.24070358276367,87.26472473144531,70.75202178955078
334.0,111.0,-55.0,305.0,110.0,-5.0,29.0,1.0,-50.0,52.25957107543945,83.43252563476562,83.74729919433594,61.098121643066406,87.25697326660156,70.7259750366211
37.0,80.0,-103.0,65.0,85.0,-46.0,-28.0,-5.0,-57.0,50.79740524291992,83.27355194091797,83.53053283691406,60.51845932006836,87.05472564697266,70.49759674072266
150.0,80.0,195.0,284.0,73.0,112.0,-134.0,7.0,83.0,52.097076416015625,82.97290802001953,84.27236938476562,60.27875900268555,87.09855651855469,71.39729309082031
132.0,77.0,-42.0,144.0,92.0,-48.0,-12.0,-15.0,6.0,51.22175598144531,83.23574829101562,83.4104995727539,60.73612976074219,87.027587890625,70.56340026855469
277.0,8.0,-24.0,203.0,6.0,-19.0,74.0,2.0,-5.0,51.55699157714844,82.67955780029297,83.53656768798828,61.01997375488281,86.90811920166016,70.72057342529297
20.0,77.0,-86.0,-33.0,66.0,-12.0,53.0,11.0,-74.0,50.172462463378906,82.84502410888672,83.48236846923828,60.70240020751953,87.06958770751953,70.17082214355469
134.0,25.0,129.0,119.0,30.0,95.0,15.0,-5.0,34.0,51.001495361328125,82.73825073242188,84.07575988769531,60.72641372680664,86.96412658691406,70.86531066894531
7.0,203.0,39.0,75.0,139.0,69.0,-68.0,64.0,-30.0,50.69728469848633,83.35734558105469,83.9556884765625,60.06543731689453,87.36404418945312,70.69647979736328
-4.0,56.0,175.0,185.0,57.0,33.0,-189.0,-1.0,142.0,51.20216751098633,82.85752868652344,83.72441101074219,59.45291519165039,87.04142761230469,71.38544464111328
253.0,46.0,-3.0,211.0,49.0,23.0,42.0,-3.0,-26.0,51.37738037109375,82.81035614013672,83.50334167480469,60.747535705566406,87.05162048339844,70.5746078491211
163.0,105.0,-5.0,202.0,81.0,36.0,-39.0,24.0,-41.0,51.17570495605469,82.86658477783203,83.64315032958984,60.48965072631836,87.10089874267578,70.412109375
118.0,102.0,56.0,63.0,76.0,118.0,55.0,26.0,-62.0,50.432674407958984,82.81485748291016,84.00953674316406,60.306148529052734,87.02511596679688,70.7032699584961
215.0,64.0,-26.0,301.0,87.0,-13.0,-86.0,-23.0,-13.0,51.68151092529297,82.8459701538086,83.33804321289062,60.353851318359375,86.89968872070312,70.5136947631836
264.0,125.0,43.0,249.0,122.0,-22.0,15.0,3.0,65.0,51.34095764160156,83.06890106201172,83.17958068847656,60.53606414794922,87.23300170898438,70.77577209472656
