"total_rewards","action_rewards","opinion_rewards"
18027,3323,14704
18664,3762,14902
18508,3585,14923
17999,3321,14678
16912,2604,14308
18605,3765,14840
18625,3752,14873
18662,3784,14878
18228,3422,14806
18234,3392,14842
18807,3852,14955
18614,3739,14875
17777,3221,14556
18375,3488,14887
18751,3755,14996
17685,3005,14680
18566,3596,14970
17884,3167,14717
18254,3550,14704
17727,2906,14821
18757,3802,14955
18441,3539,14902
18554,3550,15004
17776,3155,14621
17932,3079,14853
18563,3622,14941
18804,3905,14899
18631,3754,14877
18856,3783,15073
17532,2929,14603
17290,2807,14483
19094,3993,15101
18894,4002,14892
17847,3263,14584
19036,4093,14943
18105,3306,14799
19487,4200,15287
18731,3734,14997
18064,3401,14663
18444,3542,14902
18084,3244,14840
17662,3069,14593
19068,4024,15044
18081,3323,14758
18968,3990,14978
18150,3250,14900
18621,3638,14983
18277,3330,14947
19002,4043,14959
18613,4009,14604
18124,3389,14735
18667,3689,14978
19054,4076,14978
19059,3984,15075
19172,4054,15118
17536,3061,14475
18038,3440,14598
17397,2956,14441
18396,3483,14913
18881,3937,14944
16994,2609,14385
18289,3589,14700
18180,3537,14643
17380,2917,14463
18484,3661,14823
17957,3225,14732
18892,4013,14879
19381,4338,15043
18442,3675,14767
19289,4214,15075
18113,3435,14678
18576,3702,14874
19653,4518,15135
18512,3842,14670
19448,4411,15037
19254,4269,14985
18290,3606,14684
19428,4426,15002
19017,4238,14779
19156,4156,15000
19565,4428,15137
19233,4199,15034
18996,4156,14840
18903,3855,15048
19180,4266,14914
18893,4015,14878
19193,4305,14888
19532,4474,15058
19300,4334,14966
19729,4641,15088
19008,4177,14831
18643,3870,14773
19022,4188,14834
19746,4679,15067
19734,4675,15059
18659,3890,14769
18857,4042,14815
17269,2906,14363
18831,3995,14836
19903,4815,15088
18833,4118,14715
19235,4340,14895
20009,4896,15113
19652,4645,15007
19657,4619,15038
19629,4470,15159
19486,4425,15061
18729,4057,14672
18601,3874,14727
20099,4847,15252
19895,4823,15072
20438,5178,15260
19665,4721,14944
19501,4528,14973
20156,5091,15065
18357,3651,14706
19588,4666,14922
19561,4523,15038
20209,5089,15120
19376,4498,14878
17690,3139,14551
17721,3269,14452
19243,4473,14770
19847,4858,14989
19805,4852,14953
20002,5064,14938
18194,3798,14396
20505,5379,15126
19421,4629,14792
18948,4357,14591
19543,4689,14854
19504,4666,14838
18784,4141,14643
18858,4096,14762
19928,5017,14911
18390,3957,14433
19717,4713,15004
20364,5225,15139
20273,5254,15019
20267,5276,14991
20766,5546,15220
19462,4683,14779
19642,4923,14719
20250,5318,14932
21074,5825,15249
20252,5354,14898
20589,5680,14909
20075,5125,14950
19776,5054,14722
20118,5242,14876
18665,4030,14635
20383,5413,14970
20185,5296,14889
20693,5468,15225
20772,5575,15197
19139,4705,14434
20513,5554,14959
21190,6000,15190
20299,5484,14815
20386,5433,14953
19429,4540,14889
20366,5506,14860
19893,5160,14733
18793,4293,14500
19892,5211,14681
21220,6022,15198
20879,5776,15103
20686,5716,14970
20101,5316,14785
19993,5278,14715
20995,5845,15150
19437,4848,14589
20556,5621,14935
19947,5087,14860
20650,5773,14877
21536,6305,15231
21392,6394,14998
20580,5776,14804
21151,6238,14913
21261,6409,14852
19882,5360,14522
20799,5972,14827
21436,6345,15091
19305,4761,14544
21117,6158,14959
21668,6529,15139
19201,4759,14442
20346,5531,14815
21049,6176,14873
20976,5992,14984
21423,6517,14906
20947,6041,14906
20006,5402,14604
20613,5903,14710
21136,6299,14837
21849,6722,15127
20880,6073,14807
20212,5594,14618
21201,6359,14842
21648,6649,14999
21201,6451,14750
22087,7042,15045
20577,5777,14800
21665,6592,15073
21350,6606,14744
21373,6415,14958
21428,6612,14816
20933,6178,14755
20564,5871,14693
21600,6726,14874
21416,6547,14869
21322,6652,14670
21277,6371,14906
21832,6769,15063
21442,6494,14948
20741,5934,14807
20946,6237,14709
22349,7527,14822
20804,6228,14576
20938,6271,14667
20852,6207,14645
21532,6681,14851
21794,6872,14922
21687,7062,14625
21120,6329,14791
22050,7202,14848
21602,6796,14806
21181,6507,14674
20126,5682,14444
19107,4945,14162
21883,6985,14898
21915,7109,14806
21784,7071,14713
21422,6608,14814
22742,7739,15003
22428,7343,15085
21709,6977,14732
21929,7289,14640
21078,6431,14647
20973,6487,14486
22297,7536,14761
21713,7072,14641
