total_rewards_sp0,total_rewards_sp1,total_rewards_sp2,filter_rewards_sp0,filter_rewards_sp1,filter_rewards_sp2,answer_rewards_sp0,answer_rewards_sp1,answer_rewards_sp2,loss4_sp0,loss4_sp1,loss4_sp2,loss5_sp0,loss5_sp1,loss5_sp2
84.0,-15.0,55.0,137.0,1.0,20.0,-53.0,-16.0,35.0,51.94209671020508,83.25255584716797,83.41753387451172,59.585121154785156,87.32777404785156,71.55860137939453
-162.0,15.0,30.0,-51.0,27.0,-62.0,-111.0,-12.0,92.0,50.813636779785156,83.3355484008789,82.91656494140625,58.97159957885742,87.41377258300781,71.4792251586914
-196.0,43.0,55.0,-34.0,1.0,40.0,-162.0,42.0,15.0,50.85297393798828,83.1066665649414,83.49735260009766,58.696693420410156,87.56230926513672,71.48261260986328
-70.0,0.0,78.0,-24.0,15.0,21.0,-46.0,-15.0,57.0,50.84589767456055,83.0395278930664,83.44074249267578,59.237796783447266,87.31529998779297,71.45677947998047
-89.0,5.0,-3.0,-52.0,11.0,23.0,-37.0,-6.0,-26.0,50.69904708862305,83.13407897949219,83.33507537841797,59.221519470214844,87.36580657958984,71.10050964355469
-46.0,48.0,20.0,76.0,62.0,-25.0,-122.0,-14.0,45.0,51.32213592529297,83.27027893066406,83.0588607788086,58.887550354003906,87.30718231201172,71.4686050415039
23.0,2.0,-49.0,110.0,-27.0,-89.0,-87.0,29.0,40.0,51.41550064086914,82.90730285644531,82.6814956665039,59.175331115722656,87.33357238769531,71.2024154663086
-47.0,-2.0,146.0,48.0,-10.0,-24.0,-95.0,8.0,170.0,51.13731002807617,82.94233703613281,82.947998046875,59.19795227050781,87.36705780029297,71.6361312866211
-140.0,-50.0,22.0,24.0,-4.0,32.0,-164.0,-46.0,-10.0,50.903533935546875,82.99828338623047,83.24851989746094,58.49695587158203,87.27428436279297,71.32111358642578
80.0,-15.0,-151.0,25.0,-13.0,-95.0,55.0,-2.0,-56.0,50.95390319824219,82.7719497680664,82.4842300415039,59.60877227783203,87.15403747558594,70.6859359741211
90.0,1.0,121.0,98.0,-12.0,-16.0,-8.0,13.0,137.0,51.32183837890625,82.71031188964844,82.9031753540039,59.502906799316406,87.17399597167969,71.45625305175781
-33.0,-38.0,11.0,49.0,-25.0,97.0,-82.0,-13.0,-86.0,50.89899826049805,82.77802276611328,83.45796203613281,58.86445999145508,86.9806900024414,70.9937973022461
-80.0,-5.0,-16.0,-85.0,11.0,4.0,5.0,-16.0,-20.0,50.08082580566406,83.01068115234375,82.93488311767578,59.0257682800293,87.09149169921875,70.83284759521484
6.0,34.0,59.0,80.0,32.0,-3.0,-74.0,2.0,62.0,51.02790832519531,82.99112701416016,82.85965728759766,58.9094123840332,87.2562026977539,71.30635070800781
176.0,-28.0,113.0,157.0,-17.0,-8.0,19.0,-11.0,121.0,51.38710021972656,82.74429321289062,82.8139419555664,59.24558639526367,87.0638656616211,71.60306549072266
4.0,-49.0,63.0,41.0,-60.0,15.0,-37.0,11.0,48.0,50.63753890991211,82.42583465576172,83.01422882080078,58.90614700317383,87.19013214111328,71.26327514648438
47.0,7.0,50.0,82.0,14.0,-50.0,-35.0,-7.0,100.0,50.88853454589844,82.8663558959961,82.48511505126953,59.10540008544922,87.14102935791016,71.2066650390625
209.0,4.0,93.0,230.0,1.0,28.0,-21.0,3.0,65.0,51.694908142089844,82.62133026123047,82.97679901123047,59.34071731567383,87.07586669921875,71.25572204589844
243.0,-46.0,151.0,153.0,-20.0,30.0,90.0,-26.0,121.0,51.27130126953125,82.20040893554688,82.85005187988281,59.63082504272461,86.7974624633789,71.49738311767578
78.0,-31.0,116.0,46.0,-11.0,11.0,32.0,-20.0,105.0,50.60701370239258,82.56504821777344,82.72942352294922,59.24923324584961,86.99308776855469,71.147705078125
102.0,52.0,111.0,136.0,46.0,45.0,-34.0,6.0,66.0,50.90484619140625,82.84601593017578,82.94461059570312,59.44713592529297,87.14582824707031,70.7801513671875
-91.0,-31.0,30.0,-15.0,-39.0,-14.0,-76.0,8.0,44.0,50.03891372680664,82.36873626708984,82.60215759277344,58.526092529296875,87.01667022705078,71.12109375
