"total_rewards","action_rewards","opinion_rewards"
17516,2900,14616
16372,2065,14307
19164,3956,15208
17083,2660,14423
18364,3489,14875
18313,3474,14839
18299,3486,14813
18189,3303,14886
18457,3417,15040
18338,3496,14842
18389,3476,14913
18197,3305,14892
18614,3669,14945
18457,3632,14825
18983,3979,15004
18436,3572,14864
18648,3539,15109
19149,4108,15041
18435,3658,14777
17542,2876,14666
19262,4142,15120
17954,3225,14729
18897,3863,15034
17916,3253,14663
17883,3285,14598
18290,3530,14760
18403,3491,14912
18300,3369,14931
19300,4076,15224
18743,3724,15019
18997,3931,15066
19097,4119,14978
18452,3664,14788
18115,3452,14663
19225,4180,15045
19043,4008,15035
19021,3922,15099
19406,4334,15072
18918,3977,14941
17934,3316,14618
18006,3253,14753
18679,3606,15073
17683,2990,14693
19400,4196,15204
19057,4135,14922
18569,3693,14876
18461,3504,14957
18995,4211,14784
18542,3763,14779
19185,4015,15170
19107,4040,15067
18633,3725,14908
19131,4099,15032
18519,3625,14894
18448,3579,14869
19012,3913,15099
19328,4376,14952
18909,3863,15046
19313,4286,15027
18748,3829,14919
19590,4672,14918
19039,4160,14879
19097,4013,15084
19230,4158,15072
19657,4358,15299
19598,4415,15183
18683,3843,14840
18939,4020,14919
19707,4425,15282
19628,4461,15167
18784,3963,14821
19997,4769,15228
18907,3913,14994
19045,4060,14985
19279,4316,14963
19399,4455,14944
18638,3677,14961
18881,3811,15070
18592,3671,14921
19251,4051,15200
19456,4430,15026
19442,4190,15252
19803,4707,15096
19491,4442,15049
20188,4873,15315
19409,4392,15017
19799,4722,15077
20155,5016,15139
19224,4264,14960
20001,4776,15225
19491,4508,14983
18896,4084,14812
19714,4625,15089
18928,4194,14734
19575,4538,15037
19148,4056,15092
19857,4900,14957
19073,4232,14841
19517,4609,14908
19326,4363,14963
19855,4855,15000
19693,4843,14850
19856,4753,15103
19375,4433,14942
19100,4242,14858
19886,4824,15062
20378,5127,15251
19845,4884,14961
19724,4616,15108
19912,4877,15035
20430,5290,15140
20355,5204,15151
18382,3692,14690
20859,5402,15457
19773,4679,15094
20819,5556,15263
18239,3587,14652
20157,5097,15060
20237,5061,15176
19160,4258,14902
20047,4984,15063
20342,5175,15167
20312,5222,15090
19910,5018,14892
19534,4572,14962
19707,4904,14803
20304,5329,14975
20010,5196,14814
17760,3428,14332
19738,4743,14995
20002,4919,15083
20756,5506,15250
21088,5813,15275
20960,5810,15150
20122,5155,14967
20478,5317,15161
20203,5378,14825
21122,5874,15248
20362,5232,15130
20144,5300,14844
20963,5760,15203
20440,5470,14970
20154,5315,14839
20989,5954,15035
18533,3919,14614
19945,5015,14930
20533,5568,14965
20950,5812,15138
19794,5070,14724
20595,5630,14965
19641,4868,14773
19472,4726,14746
20724,5684,15040
21058,5950,15108
21748,6374,15374
21188,6037,15151
19082,4558,14524
20251,5282,14969
20861,5740,15121
20926,5824,15102
21093,5957,15136
20927,5981,14946
20734,5722,15012
20399,5428,14971
21565,6268,15297
21425,6369,15056
20500,5562,14938
21517,6383,15134
21398,6313,15085
21042,6088,14954
21032,6026,15006
21498,6382,15116
20801,5822,14979
19633,4860,14773
21142,6224,14918
21427,6336,15091
22046,6738,15308
20458,5638,14820
20921,6068,14853
20962,6056,14906
21179,6136,15043
21160,6266,14894
21166,6120,15046
20522,5692,14830
21875,6813,15062
21567,6403,15164
21939,6807,15132
21445,6365,15080
21522,6484,15038
21045,6194,14851
21720,6624,15096
21733,6735,14998
22080,6891,15189
20885,5964,14921
21707,6665,15042
20797,6126,14671
21578,6478,15100
20001,5315,14686
21238,6322,14916
22397,7075,15322
20798,5925,14873
21368,6533,14835
22145,7133,15012
20279,5555,14724
21828,6794,15034
21350,6319,15031
20110,5495,14615
21892,6773,15119
21586,6563,15023
21736,6838,14898
22202,7109,15093
21520,6560,14960
21975,6963,15012
21150,6443,14707
20982,6249,14733
22068,7061,15007
22583,7420,15163
21160,6330,14830
22208,7187,15021
21929,7002,14927
22374,7391,14983
22221,7339,14882
22862,7832,15030
22325,7239,15086
21977,6973,15004
23009,7895,15114
21122,6389,14733
22737,7657,15080
22599,7768,14831
22244,7384,14860
21846,7128,14718
22149,7333,14816
21551,6818,14733
21906,6942,14964
22623,7694,14929
22497,7624,14873
22027,7279,14748
22557,7480,15077
22513,7603,14910
22792,7882,14910
21807,7071,14736
22652,7752,14900
23006,7985,15021
22029,7198,14831
22726,7889,14837
21700,6795,14905
21854,7236,14618
22517,7667,14850
22713,7836,14877
20676,6309,14367
22331,7510,14821
22524,7735,14789
22497,7762,14735
21934,7242,14692
21942,7243,14699
21163,6667,14496
21927,7162,14765
22190,7416,14774
22465,7547,14918
22855,7998,14857
23042,8096,14946
22833,7835,14998
22816,7960,14856
21938,7421,14517
22700,7958,14742
22772,7959,14813
21954,7417,14537
23424,8499,14925
22635,7818,14817
21553,7186,14367
23109,8376,14733
21878,7459,14419
23031,8313,14718
21836,7354,14482
21700,7158,14542
21767,7414,14353
20590,6358,14232
22460,7890,14570
22103,7625,14478
22684,7804,14880
22732,8075,14657
22385,7703,14682
22980,8420,14560
22050,7442,14608
23158,8386,14772
22667,8087,14580
22852,8260,14592
22590,7961,14629
22827,8263,14564
23263,8517,14746
23412,8540,14872
23328,8463,14865
22500,7922,14578
21844,7420,14424
21973,7499,14474
22682,8125,14557
22574,8093,14481
23180,8474,14706
23437,8604,14833
21959,7525,14434
22369,7791,14578
22676,8054,14622
23042,8420,14622
21749,7444,14305
21498,7216,14282
22928,8323,14605
22262,7927,14335
22783,8366,14417
21025,6869,14156
22490,8077,14413
22361,7940,14421
20865,6807,14058
23561,8856,14705
23078,8509,14569
23427,8688,14739
23186,8611,14575
22875,8379,14496
23341,8928,14413
21118,7102,14016
21893,7638,14255
23369,8815,14554
22755,8347,14408
23048,8584,14464
22916,8375,14541
21668,7586,14082
21441,7194,14247
22680,8337,14343
23032,8625,14407
23616,9027,14589
23653,9184,14469
23100,8569,14531
23322,8723,14599
23578,9209,14369
23072,8618,14454
21980,7769,14211
23208,8744,14464
22789,8348,14441
23205,8855,14350
21103,7031,14072
23634,9033,14601
23424,8981,14443
23717,9321,14396
22258,7974,14284
23031,8718,14313
22489,8243,14246
23360,9013,14347
22672,8408,14264
23757,9234,14523
22337,8150,14187
22464,8123,14341
23201,8869,14332
23663,9239,14424
23282,8965,14317
23249,8924,14325
23689,9354,14335
23391,9086,14305
22710,8544,14166
22327,8217,14110
22951,8697,14254
22756,8555,14201
23388,9040,14348
23094,8845,14249
23616,9264,14352
21589,7589,14000
23645,9256,14389
23598,9244,14354
22400,8255,14145
22733,8673,14060
23198,8952,14246
21318,7353,13965
23216,9072,14144
23495,9332,14163
23159,9010,14149
23508,9304,14204
23554,9371,14183
21903,7948,13955
23616,9379,14237
23823,9469,14354
22034,7955,14079
23046,8945,14101
24092,9853,14239
23932,9690,14242
22877,8755,14122
22223,8353,13870
23285,9174,14111
24039,9709,14330
21884,7960,13924
22772,8571,14201
23528,9382,14146
21896,8087,13809
23513,9301,14212
23134,9092,14042
23917,9579,14338
23864,9727,14137
23924,9733,14191
23375,9322,14053
22638,8695,13943
22784,8635,14149
24481,10201,14280
22512,8386,14126
22848,8813,14035
23038,9018,14020
21526,7803,13723
23643,9581,14062
23177,9128,14049
23449,9305,14144
23095,9192,13903
24257,10072,14185
22782,8760,14022
21855,7936,13919
23379,9230,14149
23486,9455,14031
22595,8609,13986
24040,9854,14186
22708,8815,13893
23289,9268,14021
23230,9251,13979
23675,9596,14079
23219,9207,14012
23808,9848,13960
24199,9931,14268
24203,10036,14167
23376,9433,13943
23475,9411,14064
23413,9434,13979
22691,8945,13746
22487,8644,13843
24160,10013,14147
23778,9792,13986
23150,9261,13889
23487,9566,13921
23800,9763,14037
23344,9556,13788
22462,8675,13787
22401,8736,13665
22769,8947,13822
24370,10138,14232
22969,9164,13805
23846,9746,14100
23788,9814,13974
23745,9798,13947
23509,9467,14042
23701,9758,13943
24047,9964,14083
23330,9504,13826
24627,10532,14095
23449,9641,13808
23230,9462,13768
23476,9578,13898
20865,7561,13304
24237,10238,13999
20807,7477,13330
22893,8899,13994
23340,9419,13921
22942,9073,13869
23181,9242,13939
24809,10782,14027
23662,9770,13892
23566,9753,13813
23348,9579,13769
23851,9862,13989
23621,9832,13789
22720,9006,13714
22757,9047,13710
24195,10196,13999
23389,9624,13765
23706,9872,13834
24071,10241,13830
23427,9540,13887
22731,8892,13839
23213,9534,13679
23495,9666,13829
23389,9809,13580
24155,10259,13896
23596,9738,13858
23211,9483,13728
23511,9655,13856
22486,9010,13476
22987,9408,13579
23464,9766,13698
23578,9861,13717
23564,9825,13739
22518,9051,13467
22532,9043,13489
23959,10150,13809
23273,9649,13624
24517,10653,13864
22947,9279,13668
23945,10301,13644
23189,9523,13666
23247,9502,13745
24004,10252,13752
23426,9741,13685
24585,10893,13692
23269,9529,13740
23872,10137,13735
24711,10916,13795
24985,11128,13857
23695,10041,13654
22134,8554,13580
22684,9130,13554
23736,9988,13748
21907,8414,13493
23307,9665,13642
24469,10661,13808
22725,9354,13371
23277,9616,13661
23551,9984,13567
23522,9835,13687
23048,9478,13570
24618,10819,13799
24735,10987,13748
23038,9423,13615
24748,10945,13803
24029,10334,13695
23690,9978,13712
23288,9697,13591
22603,9084,13519
23641,10016,13625
23963,10398,13565
22555,9008,13547
24489,10760,13729
24438,10759,13679
22666,9265,13401
23856,10179,13677
24596,10767,13829
22707,9185,13522
24175,10358,13817
21763,8502,13261
22408,8936,13472
22945,9379,13566
22995,9545,13450
23748,10285,13463
24317,10618,13699
24573,10880,13693
24147,10400,13747
23109,9763,13346
23407,10049,13358
24711,11044,13667
21067,7980,13087
23586,10075,13511
23964,10429,13535
23054,9623,13431
23502,10099,13403
24530,10957,13573
23509,9944,13565
24175,10544,13631
23928,10421,13507
23384,9851,13533
23829,10214,13615
24270,10701,13569
24697,11110,13587
23814,10317,13497
24091,10611,13480
24239,10687,13552
23783,10381,13402
24811,11108,13703
22011,8865,13146
23955,10396,13559
23874,10484,13390
23804,10216,13588
24106,10552,13554
22266,8922,13344
23510,10108,13402
23721,10166,13555
23513,10051,13462
23290,9888,13402
23754,10225,13529
24383,10680,13703
23484,10039,13445
22928,9589,13339
23163,9738,13425
23898,10457,13441
23998,10571,13427
22525,9347,13178
22427,9379,13048
23874,10366,13508
24954,11313,13641
24046,10648,13398
24524,10900,13624
23847,10528,13319
24054,10605,13449
24045,10658,13387
22538,9317,13221
24466,10875,13591
23261,9871,13390
23458,10079,13379
23068,9900,13168
22306,9144,13162
23176,9840,13336
24529,11057,13472
24061,10627,13434
23501,10310,13191
21960,8834,13126
21864,8823,13041
24845,11368,13477
23868,10533,13335
24209,10723,13486
24275,10778,13497
24551,11079,13472
22984,9708,13276
24152,10729,13423
24674,11218,13456
24376,10933,13443
23511,10157,13354
24168,10702,13466
24080,10671,13409
23012,9697,13315
23642,10281,13361
23482,10164,13318
23922,10672,13250
23851,10604,13247
23727,10510,13217
23216,10190,13026
24166,10759,13407
21687,8558,13129
23404,10152,13252
24737,11518,13219
25210,11679,13531
23096,9944,13152
24331,10828,13503
23380,10064,13316
24324,10992,13332
24283,11015,13268
23640,10437,13203
23122,10091,13031
23813,10609,13204
24961,11623,13338
24637,11252,13385
23196,10029,13167
24324,10968,13356
22820,9803,13017
23503,10232,13271
25345,11920,13425
24571,11217,13354
23468,10063,13405
23170,9940,13230
23503,10256,13247
22731,9754,12977
24770,11389,13381
23164,10042,13122
24314,11044,13270
23944,10696,13248
22166,9210,12956
23015,9885,13130
23372,10148,13224
25016,11644,13372
24217,10995,13222
24976,11630,13346
24176,10951,13225
24039,10716,13323
21579,8880,12699
25169,11768,13401
22571,9548,13023
23783,10578,13205
23266,10213,13053
24272,11116,13156
23272,10153,13119
23560,10381,13179
23781,10655,13126
24446,11285,13161
24659,11285,13374
22525,9561,12964
23944,10751,13193
24472,11261,13211
23877,10821,13056
24923,11695,13228
24778,11460,13318
23897,10761,13136
23966,10939,13027
21678,8862,12816
23889,10844,13045
24743,11511,13232
22529,9622,12907
24618,11437,13181
24148,11038,13110
22056,9170,12886
22410,9608,12802
24081,10953,13128
23033,10068,12965
23642,10669,12973
24690,11584,13106
23547,10446,13101
24377,11144,13233
23162,10232,12930
23042,10036,13006
22659,9535,13124
24859,11694,13165
22347,9402,12945
23808,10616,13192
24456,11254,13202
24609,11452,13157
23996,11022,12974
23946,10803,13143
22591,9829,12762
23675,10649,13026
24646,11500,13146
23750,10812,12938
22079,9285,12794
25146,11971,13175
24015,10985,13030
23810,10805,13005
24702,11520,13182
23922,10986,12936
25060,11897,13163
22953,10102,12851
25309,11979,13330
21967,9250,12717
23672,10772,12900
23413,10424,12989
23091,10069,13022
24920,11829,13091
23631,10644,12987
23372,10378,12994
24552,11338,13214
23207,10243,12964
24698,11599,13099
22846,9949,12897
24244,11179,13065
24738,11757,12981
23035,10255,12780
22666,9819,12847
21544,9005,12539
24309,11302,13007
22739,9926,12813
24659,11678,12981
24822,11784,13038
24177,11224,12953
24003,10973,13030
23671,10643,13028
23096,10317,12779
20906,8437,12469
24629,11559,13070
20028,7953,12075
24312,11407,12905
23946,10983,12963
24782,11765,13017
23901,10875,13026
24092,11254,12838
23834,10809,13025
22915,10143,12772
23137,10204,12933
24385,11269,13116
24536,11382,13154
23802,10794,13008
23231,10481,12750
24983,12026,12957
24333,11295,13038
23174,10392,12782
23919,11028,12891
23816,10823,12993
