"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
23788,33069,-9281,1.84961592609232,-6.44145162755793
24070,33073,-9003,1.77942393367941,-6.47742999683727
24435,33092,-8657,1.71047746918418,-6.47956446734342
24794,33123,-8329,1.64194401827725,-6.47961155284535
25101,33150,-8049,1.57296245314858,-6.51072659275748
25532,33225,-7693,1.50814012180675,-6.50778165405447
25911,33231,-7320,1.43682348077947,-6.50079940665852
26388,33277,-6889,1.36804482286627,-6.46995610323819
26815,33307,-6492,1.29729675921527,-6.46465016820214
27296,33400,-6104,1.2311299757524,-6.47539627118544
27779,33385,-5606,1.15493951223113,-6.42800727324052
28189,33408,-5219,1.08112177361142,-6.44016280391
28762,33435,-4673,1.00697910352187,-6.37674977996133
29207,33478,-4271,0.933947649327191,-6.38486839316108
29620,33497,-3877,0.857523119449615,-6.40524640300057
30225,33585,-3360,0.785753225196492,-6.35470904328606
30729,33649,-2920,0.711459618264979,-6.35151936682788
31220,33717,-2497,0.636973810195923,-6.34514388171109
31728,33790,-2062,0.562526754628528,-6.3284067668698
32153,33837,-1684,0.486115776408802,-6.34084850007838
32609,33870,-1261,0.407683764804493,-6.3344365997748
33070,33943,-873,0.332255151596936,-6.33038881583647
33673,33993,-320,0.254736801440066,-6.23248715942556
34147,34076,71,0.180696337331425,-6.21493506106463
34686,34159,527,0.106645660237833,-6.15035848725926
35081,34224,857,0.031019590659575,-6.14813775907863
35550,34285,1265,-0.0443055792288347,-6.10506787191738
36026,34394,1632,-0.115371250835332,-6.07549116936597
36591,34493,2098,-0.186527911641381,-5.99123690507629
36961,34582,2379,-0.257309196212075,-5.99097248099067
37433,34687,2746,-0.326070990345695,-5.94079098593105
38070,34788,3282,-0.39407676837661,-5.79301308664409
38529,34930,3599,-0.457591566985304,-5.75677161270922
39005,35021,3984,-0.524379441142082,-5.67583587386391
39469,35105,4364,-0.590058585459536,-5.58598690141331
39938,35208,4730,-0.653347446701743,-5.50213891538707
40455,35346,5109,-0.712087936834855,-5.41253426129168
40795,35426,5369,-0.774219250408086,-5.37071757370775
41114,35547,5567,-0.830710234425285,-5.3538520173593
41635,35655,5980,-0.886218985915184,-5.22764268788424
42062,35777,6285,-0.94005146866495,-5.1466242367571
42466,35888,6578,-0.992928673462434,-5.0766011514447
42838,35959,6879,-1.04718929773027,-4.99820460948077
43211,36103,7108,-1.09397384903648,-4.95764972946861
43621,36221,7400,-1.14166508723389,-4.87684753753922
44010,36353,7657,-1.18653345378962,-4.80844940001314
44373,36497,7876,-1.22836665131829,-4.75572896274653
44779,36572,8207,-1.27390286109664,-4.65651558204131
45040,36700,8340,-1.31310728761283,-4.64212515245784
45613,36860,8753,-1.34805903516032,-4.49243678775701
45882,36992,8890,-1.38373175480149,-4.48102339235219
46352,37115,9237,-1.41897338574583,-4.36171316775409
46845,37280,9565,-1.44937625554475,-4.24387955828147
47349,37424,9925,-1.48058840171857,-4.12483421780846
47803,37572,10231,-1.5094933512536,-4.02214139699936
48307,37685,10622,-1.5401895520362,-3.87865645722909
48711,37786,10925,-1.57049691541628,-3.77852232131091
49068,37968,11100,-1.59228611656211,-3.74208925610239
49405,38128,11277,-1.61626906394958,-3.69182784882459
49784,38294,11490,-1.63704781992869,-3.63741579597647
50238,38431,11807,-1.65960171033036,-3.52664720361883
50591,38696,11895,-1.67094685719772,-3.52448939301751
51197,38890,12307,-1.68625854890455,-3.36111058701168
51531,39049,12482,-1.70426154488867,-3.32313094735146
51798,39192,12606,-1.72296234558929,-3.3071040221236
52258,39393,12865,-1.73469758927822,-3.22816849350929
52778,39597,13181,-1.74479916935617,-3.11629962054166
53106,39777,13329,-1.7559015141292,-3.08181723410433
53563,40020,13543,-1.76216622929681,-3.01570084582676
54095,40207,13888,-1.77222298600457,-2.88387077125636
54496,40426,14070,-1.77881145138632,-2.83515746295452
54932,40652,14280,-1.78354913253676,-2.76598643660545
55370,40902,14468,-1.78607058796016,-2.71850368488919
55808,41122,14686,-1.78793239552866,-2.65112293362618
56325,41391,14934,-1.78755822113969,-2.57534930678931
56705,41649,15056,-1.78626275387677,-2.54889548773115
57082,41881,15201,-1.78689614182169,-2.51180392666297
57661,42156,15505,-1.78387823301283,-2.40704704035412
58203,42455,15748,-1.77625447769057,-2.32543431195346
58713,42755,15958,-1.76987628415227,-2.2663762089881
59396,43064,16332,-1.76249252774499,-2.13349114439704
59926,43376,16550,-1.75441424650225,-2.08079357607798
60487,43717,16770,-1.7428925994445,-2.01779670471495
61054,44030,17024,-1.73267609517683,-1.93836549168283
61572,44349,17223,-1.72378838251938,-1.88923477313735
62282,44655,17627,-1.71195574328303,-1.75996127670461
62886,45029,17857,-1.69565414230932,-1.70323123769327
63568,45399,18169,-1.68112437786026,-1.60369367680766
64256,45815,18441,-1.66199209270152,-1.53349505988034
64951,46220,18731,-1.64395600977269,-1.43606966164979
65523,46615,18908,-1.62773859175769,-1.4036362152208
66370,47026,19344,-1.60637132051316,-1.26181454523043
67061,47394,19667,-1.58980976851149,-1.1592848257585
67668,47862,19806,-1.56479985222898,-1.14033126817508
68318,48239,20079,-1.54592712846669,-1.06575785685669
69076,48584,20492,-1.53054562583566,-0.947895107756962
69783,48987,20796,-1.50980440242724,-0.87693082717332
70578,49376,21202,-1.49200192493471,-0.764875654469837
71278,49841,21437,-1.46532176814296,-0.716217115250501
72008,50238,21770,-1.44409044296904,-0.637394548004324
72733,50611,22122,-1.42446805096485,-0.541694574193521
73615,51052,22563,-1.40306716371666,-0.42157082313841
74372,51464,22908,-1.38074279657819,-0.344657703963193
75171,51903,23268,-1.35331010737202,-0.266326229003343
76165,52383,23782,-1.32599146758968,-0.135642551156608
77009,52863,24146,-1.29912136535753,-0.0697383271022276
77779,53257,24522,-1.27503302618861,0.00205828113989396
78543,53713,24830,-1.24591060423038,0.0494538934393363
79526,54152,25374,-1.21845343519341,0.195167521184141
80419,54579,25840,-1.19316719662059,0.27752119817517
81425,55024,26401,-1.16824096109379,0.409784931350838
82390,55524,26866,-1.13875673396344,0.521751777963205
83510,55953,27557,-1.11052619313652,0.697791832685471
84547,56356,28191,-1.08467834849249,0.834719293767756
85385,56750,28635,-1.06222919852219,0.911771842837334
86432,57181,29251,-1.03558115976101,1.02418674650517
87458,57651,29807,-1.00026824203405,1.1361426056786
88435,58061,30374,-0.975962351364168,1.26283388943835
89384,58416,30968,-0.954484227333556,1.36636751971462
90172,58769,31403,-0.931333429806612,1.42407565523278
91064,59112,31952,-0.911197383769534,1.52473314255476
92170,59508,32662,-0.886938385191289,1.65896593223919
93107,59916,33191,-0.860072038729082,1.75375364151868
94350,60281,34069,-0.835599674352191,1.95065111883662
95702,60670,35032,-0.812419053979895,2.17521172734824
96731,61005,35726,-0.789098983766003,2.29447134062648
97814,61372,36442,-0.761136904291131,2.43029276721857
98831,61712,37119,-0.738647087731145,2.54522500613874
99913,62056,37857,-0.718304515663873,2.65750526663932
100843,62391,38452,-0.695803459970789,2.75281437933445
102003,62773,39230,-0.668190809813413,2.89830731526017
103135,63040,40095,-0.651440743864937,3.04049941213293
104118,63310,40808,-0.6345990230922,3.13756846677173
104973,63553,41420,-0.618009514319287,3.23323630758307
106034,63864,42170,-0.599816830617122,3.32289949743585
107167,64089,43078,-0.586209980008954,3.46737190593373
108503,64371,44132,-0.56584193169732,3.66003123691136
109518,64633,44885,-0.548261459603567,3.76916779923168
110644,64871,45773,-0.533271455045112,3.90144043883139
111643,65097,46546,-0.517829768122597,3.98555617749014
112660,65351,47309,-0.499176221662624,4.07358659587123
113648,65622,48026,-0.480566116337749,4.14538496178998
114568,65829,48739,-0.466265977140177,4.2241794207218
115628,66058,49570,-0.449861688632518,4.31380930366841
116721,66285,50436,-0.433534140948376,4.41638073433529
117569,66448,51121,-0.424865352070298,4.44946841272441
118508,66633,51875,-0.413914114198732,4.50406807633964
119561,66792,52769,-0.404495767745274,4.58165274819529
120534,66968,53566,-0.394679282205603,4.6322298608043
121084,67088,53996,-0.388746588680938,4.6368184146556
121696,67217,54479,-0.380170892624036,4.64925597682595
122523,67361,55162,-0.3717530790473,4.67233528657393
123200,67494,55706,-0.363731431044554,4.67994018955664
123883,67650,56233,-0.352351485268975,4.65689930699088
124468,67753,56715,-0.346622882389718,4.65506319227544
125006,67854,57152,-0.33957480805164,4.64832630970261
125692,67984,57708,-0.331074673038992,4.65840561823411
126615,68146,58469,-0.318486051307991,4.70724906785922
127178,68231,58947,-0.314203055778688,4.69569210626862
127726,68315,59411,-0.307919733611528,4.70120641358874
128445,68409,60036,-0.301223483922976,4.71279722370885
129066,68499,60567,-0.294781029974745,4.69564123939384
129562,68547,61015,-0.291281204619868,4.68800033493476
130068,68629,61439,-0.28475176427852,4.68649123040113
130498,68715,61783,-0.278118966107087,4.66730165319009
131057,68792,62265,-0.272079606671733,4.63258246345953
131454,68851,62603,-0.267384706020609,4.60142824348401
131769,68897,62872,-0.263985080085695,4.56938760145144
132129,68955,63174,-0.258620191604661,4.52392050109126
132373,68989,63384,-0.256159267530099,4.49736190600829
132573,69031,63542,-0.25268628037196,4.44966737441719
132757,69085,63672,-0.250202601572859,4.39931287602945
133118,69139,63979,-0.246019077070311,4.36998094103553
133443,69193,64250,-0.241934525677193,4.3479061934081
133770,69247,64523,-0.238074953774181,4.33452680598606
134006,69274,64732,-0.236832812720042,4.2988033852794
134233,69326,64907,-0.233286277650834,4.27303149022839
134455,69360,65095,-0.229890656576026,4.22970781441439
134651,69398,65253,-0.226037232206859,4.1803406951949
134881,69434,65447,-0.222834369027458,4.12546339156953
134984,69471,65513,-0.221572822834556,4.09139096655629
135176,69511,65665,-0.217387568568599,4.05770811309869
135355,69536,65819,-0.216322946399239,4.03864108294418
135600,69583,66017,-0.212800552244087,4.00796530002898
135767,69612,66155,-0.209751096811802,3.97023085586049
135920,69642,66278,-0.206955828109693,3.92481363849206
136167,69683,66484,-0.204556408471597,3.90225097916343
136255,69723,66532,-0.20180528917805,3.8709604230794
136454,69763,66691,-0.195938091512918,3.84322119409388
136592,69788,66804,-0.194591438009361,3.79359223991632
136690,69825,66865,-0.191099553354169,3.7681222087111
136841,69871,66970,-0.186115007535872,3.74152017371221
136956,69906,67050,-0.183995592905293,3.71934485433792
137079,69925,67154,-0.182268794130703,3.68637943354737
137169,69951,67218,-0.180732995856405,3.65088045668196
137252,69965,67287,-0.180108443349177,3.62273648862134
137385,69999,67386,-0.175228338222686,3.58377114006064
137454,70019,67435,-0.174581300514877,3.5591318750246
137512,70037,67475,-0.17198257724482,3.53787641826678
137601,70047,67554,-0.172096982467338,3.50902873528275
137701,70080,67621,-0.170014291982013,3.49376855269074
137767,70092,67675,-0.169876818554555,3.47147234387018
137854,70121,67733,-0.167187193984071,3.44056207981299
137958,70136,67822,-0.166682965186721,3.42713975753974
138000,70144,67856,-0.165694260859428,3.3958331390538
138045,70172,67873,-0.163123775003293,3.37673559253189
138148,70189,67959,-0.16094739704713,3.36326412456957
138158,70192,67966,-0.160261609126412,3.35728454833681
138235,70203,68032,-0.15819847459127,3.34180816384879
138339,70213,68126,-0.157190740961894,3.32449583979535
138356,70220,68136,-0.157260354611605,3.3056035313078
138429,70241,68188,-0.156075057230191,3.29158021181145
138480,70244,68236,-0.156669427305381,3.27116498232565
138546,70258,68288,-0.155230595464871,3.25310942637311
138583,70268,68315,-0.154446906114555,3.2405963099477
138618,70270,68348,-0.154290297882372,3.23020191585476
138664,70275,68389,-0.154810990577045,3.21736631916667
138688,70278,68410,-0.154991918553225,3.19753717411817
138689,70277,68412,-0.155722359617622,3.19004322706976
138704,70281,68423,-0.155909179251929,3.18150389664383
138740,70293,68447,-0.155879494556046,3.17304566865787
138778,70294,68484,-0.156447399903449,3.16004485765641
138820,70296,68524,-0.156415056928712,3.15619191023606
138832,70300,68532,-0.156271261885625,3.14539235045033
