"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
21637,30976,-9339,1.66330935846676,-6.51985398422588
21927,30966,-9039,1.59172338464043,-6.54394875439731
22245,30995,-8750,1.52337613972751,-6.57058571685444
22508,31001,-8493,1.45336313572797,-6.61071470867504
22829,31015,-8186,1.38354713266546,-6.62785912427035
23185,31045,-7860,1.31489333564585,-6.63397682796825
23464,31023,-7559,1.24098140326413,-6.66816710558805
23832,31063,-7231,1.17192631201311,-6.69201474623247
24148,31112,-6964,1.10345633355054,-6.75312817313454
24574,31141,-6567,1.03224207487973,-6.7478567535227
25005,31196,-6191,0.962253113768318,-6.76247076554732
25313,31265,-5952,0.893239911577918,-6.84609431353482
25768,31314,-5546,0.821269143711437,-6.85588967366652
26260,31343,-5083,0.747073086283424,-6.84322410496798
26724,31396,-4672,0.673944510113109,-6.84468839602037
27149,31462,-4313,0.60171903425997,-6.88246931379492
27700,31540,-3840,0.529265063459223,-6.86212040077556
28244,31615,-3371,0.455917656421661,-6.84166935573925
28757,31675,-2918,0.380861687660217,-6.82348753538999
29165,31742,-2577,0.306469070369547,-6.85118805170059
29734,31845,-2111,0.235019628568129,-6.81569982983849
30219,31931,-1712,0.161327928033742,-6.80009359663183
30715,32008,-1293,0.0873717175288634,-6.77598378658295
31276,32070,-794,0.0115001393990083,-6.71052881045775
31781,32154,-373,-0.0616177493875677,-6.66346602548252
32253,32225,28,-0.135896298831159,-6.6212367978963
32744,32311,433,-0.208491442962126,-6.56943274194544
33233,32405,828,-0.279834677414461,-6.52408971461383
33771,32494,1277,-0.350619267875498,-6.45151338902387
34225,32570,1655,-0.422563294118101,-6.38909743374044
34779,32655,2124,-0.492631371454759,-6.27904227755286
35299,32731,2568,-0.562716121023351,-6.17468451911753
35824,32864,2960,-0.625806150924076,-6.0855656916445
36338,32973,3365,-0.689794212850657,-5.9995312907479
36834,33090,3744,-0.752433714812452,-5.90774129195647
37279,33188,4091,-0.815706147930839,-5.82456017515876
37541,33230,4311,-0.882015032388947,-5.81134735996073
38117,33323,4794,-0.942986288124865,-5.65928175557743
38558,33434,5124,-1.00060582648624,-5.5712622274052
39139,33548,5591,-1.05692982023413,-5.41750525723804
39516,33662,5854,-1.11180952462283,-5.3682006651705
39924,33729,6195,-1.16793232289228,-5.27627017877319
40342,33806,6536,-1.22174362865361,-5.18184087168087
40699,33880,6819,-1.27457020878792,-5.10392238172618
41100,34040,7060,-1.31922274096446,-5.04967748035084
41466,34123,7343,-1.36811232079159,-4.96526918086139
42024,34259,7765,-1.41107674999671,-4.8233623938127
42382,34387,7995,-1.45330392230641,-4.76016876372424
42770,34546,8224,-1.4913854365999,-4.69268173250285
43108,34647,8461,-1.53253538229249,-4.62576007138599
43530,34786,8744,-1.5674474908547,-4.54388051629067
43948,34878,9070,-1.60441454621879,-4.44057798006318
44274,35010,9264,-1.63818971270865,-4.39218335368417
44672,35113,9559,-1.67310511442748,-4.28840580365875
45140,35299,9841,-1.69930213906548,-4.19180168672041
45684,35431,10253,-1.727097854831,-4.04220774878155
45972,35528,10444,-1.75874448825013,-3.98405871553854
46246,35660,10586,-1.78501482036981,-3.94639261039821
46649,35778,10871,-1.81168684742667,-3.85150995417075
47087,35948,11139,-1.83177054267038,-3.76855137402361
47621,36157,11464,-1.84572058292952,-3.64634089686654
47988,36272,11716,-1.86865214326165,-3.56725343249061
48405,36385,12020,-1.89078206379305,-3.45356146368113
48826,36585,12241,-1.90523844090375,-3.39097603694959
49205,36822,12383,-1.91544119228016,-3.35965598713268
49701,37010,12691,-1.92734354084188,-3.24883057339625
50206,37236,12970,-1.93469172201373,-3.14019857861779
50751,37509,13242,-1.9375180658969,-3.03904030946168
51130,37759,13371,-1.9417726197026,-3.00417344868183
