"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
18984,28616,-9632,1.45181330767545,-6.61390717571432
19239,28643,-9404,1.38378336754712,-6.6698362047022
19536,28640,-9104,1.31281752586365,-6.68876398693432
19759,28665,-8906,1.24373016899282,-6.76010391495445
20057,28678,-8621,1.17329543503848,-6.7905166701837
20431,28721,-8290,1.10533405650746,-6.80000705827366
20695,28769,-8074,1.03697380586104,-6.87785718766126
21190,28855,-7665,0.971910616484555,-6.85917108925906
21585,28893,-7308,0.902159584110433,-6.8753770405596
22046,28938,-6892,0.832218085635792,-6.8598062526096
22482,28949,-6467,0.758201778476889,-6.85102851932699
22985,29034,-6049,0.69041226289489,-6.84594852003184
23515,29110,-5595,0.620637677474455,-6.83078970258886
24027,29214,-5187,0.552832414345308,-6.84533099586313
24458,29246,-4788,0.477914435755123,-6.86355505423112
24947,29333,-4386,0.407146959413182,-6.87581627531485
25501,29430,-3929,0.33610680049116,-6.86068300008774
26133,29521,-3388,0.264166871526025,-6.80458021218127
26587,29612,-3025,0.192814148014242,-6.83028169599446
27196,29701,-2505,0.12080050110817,-6.77421005964279
27591,29799,-2208,0.0484437091784044,-6.82367372837934
28276,29918,-1642,-0.0221802467649633,-6.73030691471967
28836,30008,-1172,-0.0953672552650625,-6.68149828152223
29354,30123,-769,-0.165772512013262,-6.65828395648436
29878,30230,-352,-0.237111241167242,-6.62223416566849
30385,30335,50,-0.308014696836472,-6.58358943679116
30893,30424,469,-0.380152602087368,-6.52763064991344
31434,30543,891,-0.448217037861998,-6.46495363603939
31983,30600,1383,-0.521620552106337,-6.36248841665008
32561,30754,1807,-0.586568781191652,-6.28628854914145
33092,30874,2218,-0.652890149571679,-6.21094578612934
33564,30956,2608,-0.720898430455815,-6.13945070613514
33947,31072,2875,-0.785686414350163,-6.11612391309305
34554,31200,3354,-0.848004966161468,-5.98713904944333
34930,31305,3625,-0.91026411625472,-5.95058280121196
35457,31475,3982,-0.966489895365455,-5.86274838718501
35895,31559,4336,-1.02802443639799,-5.78120821172541
36475,31664,4811,-1.0860471134836,-5.63357948769223
36846,31804,5042,-1.13998234109445,-5.58702013492584
37247,31923,5324,-1.19540356804024,-5.52530838359486
37804,31982,5822,-1.25358150493015,-5.3579520621083
38176,32056,6120,-1.30862091806802,-5.28425676009872
38614,32172,6442,-1.3590588981455,-5.19255379004912
38996,32352,6644,-1.40211277224801,-5.15527725328099
39417,32466,6951,-1.44888336333362,-5.06469981291077
39903,32594,7309,-1.49283951358362,-4.94795530871911
40321,32688,7633,-1.53794718818231,-4.84804864309051
40802,32888,7914,-1.57355401353403,-4.76592729741877
41218,33043,8175,-1.61022068207914,-4.68871652592312
41704,33153,8551,-1.65028190125119,-4.56240918582136
42200,33299,8901,-1.68550604094159,-4.45064455866814
42567,33485,9082,-1.71650533838706,-4.40697131969712
42927,33646,9281,-1.74686229445718,-4.35156504891135
43415,33796,9619,-1.77600561380386,-4.23092964454131
43858,33999,9859,-1.79961143623699,-4.15902019739151
44353,34153,10200,-1.82552788528529,-4.03990388133309
44799,34423,10376,-1.84221476641568,-4.00396764657714
45310,34619,10691,-1.86318589936603,-3.87991612147201
45831,34806,11025,-1.88352632685141,-3.75548796220259
46378,35063,11315,-1.8962086298249,-3.64784292199395
46782,35346,11436,-1.90371652191335,-3.62827076749368
47294,35557,11737,-1.91694614074447,-3.52676877433603
47667,35803,11864,-1.92808898362246,-3.49929427179423
48256,36114,12142,-1.93070825988596,-3.41058320565657
48670,36323,12347,-1.94192418727008,-3.34566333293915
49092,36490,12602,-1.9553179285743,-3.26698072200472
49543,36739,12804,-1.96096165992997,-3.20899586650458
49958,36938,13020,-1.97035450122573,-3.1331290746277
50518,37241,13277,-1.97018814628774,-3.04466056038033
50994,37415,13579,-1.97886292284185,-2.93619737110355
51471,37681,13790,-1.97978769540787,-2.87446712580594
52088,38039,14049,-1.97210392410105,-2.78207310438156
52596,38395,14201,-1.9613721056418,-2.73803048458966
53134,38716,14418,-1.95402915206822,-2.67935683727264
53780,39021,14759,-1.9481714067134,-2.56019251590425
54392,39336,15056,-1.94112918376923,-2.46087937653065
55123,39689,15434,-1.92979179702022,-2.32145385389978
55742,40077,15665,-1.91610938662832,-2.24683315401728
56336,40405,15931,-1.90635693154552,-2.16483597592874
56979,40810,16169,-1.8900892666795,-2.09669739387252
57554,41129,16425,-1.88122791566632,-2.02074306607246
58191,41505,16686,-1.864940494028,-1.94104614068161
58860,41896,16964,-1.84650331952355,-1.85621724914421
59440,42286,17154,-1.82971596338532,-1.81364342543212
60107,42700,17407,-1.8098352145065,-1.74762420356274
60777,43065,17712,-1.7948577482592,-1.66483158225363
61468,43516,17952,-1.7687218435786,-1.59799792062153
62146,43867,18279,-1.75399612648921,-1.49347118599848
