"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
22749,31520,-8771,1.71239750276912,-6.22007482918826
23072,31548,-8476,1.64239535765214,-6.24254450906407
23395,31533,-8138,1.56875616420399,-6.24847225384279
23726,31571,-7845,1.49937709461559,-6.2686666466973
24015,31596,-7581,1.4287813056599,-6.31508558229967
24235,31601,-7366,1.35594320405613,-6.38556706038388
24571,31623,-7052,1.28448391394182,-6.41407840035178
24945,31668,-6723,1.21426797129891,-6.4432181336663
25260,31662,-6402,1.13895105015148,-6.48087228103117
25530,31681,-6151,1.06541320789944,-6.55390708879991
25944,31727,-5783,0.993441565470262,-6.5828077825633
26439,31730,-5291,0.916655363819816,-6.54625917022878
26801,31775,-4974,0.843198807673021,-6.59974699399688
27408,31831,-4423,0.77001320773905,-6.53850334178318
27922,31891,-3969,0.696426465836438,-6.5305768224326
28424,31937,-3513,0.62063186656345,-6.51613584973595
28928,31987,-3059,0.544757993654771,-6.5018588272008
29494,32077,-2583,0.471484698490663,-6.47409845807336
29937,32150,-2213,0.396594870090485,-6.49258125857873
30395,32178,-1783,0.317448091506958,-6.47642639333552
31011,32224,-1213,0.239358381249688,-6.38772093382749
31495,32266,-771,0.161252831328999,-6.35620466795835
32075,32320,-245,0.0835765291344036,-6.27047757777301
32595,32370,225,0.00575927008282055,-6.20873861096122
33078,32408,670,-0.073508495092392,-6.14904392361641
33579,32446,1133,-0.151674201271751,-6.08652413053946
34045,32555,1490,-0.2229855729775,-6.06056353774938
34429,32574,1855,-0.302048759026961,-6.02055531144142
34869,32636,2233,-0.376764757253907,-5.96674824357033
35329,32704,2625,-0.450294537435878,-5.90463821671226
35779,32790,2989,-0.52118471102281,-5.84775970578194
36330,32877,3453,-0.590839595957236,-5.74017867337574
36673,32953,3720,-0.660839184847745,-5.71995209618048
37076,32997,4079,-0.731742236018181,-5.64851500229402
37461,33076,4385,-0.798509860038757,-5.59982054612853
37822,33132,4690,-0.865996817838062,-5.54560563239184
38184,33224,4960,-0.929136542840438,-5.50743864395402
38522,33315,5207,-0.990454797311263,-5.47279145771807
38847,33359,5488,-1.0545032531023,-5.41624650467526
39311,33486,5825,-1.109719405391,-5.32768610770052
39666,33587,6079,-1.16577946624973,-5.27664429328658
40025,33701,6324,-1.218792982264,-5.2294927445325
40406,33818,6588,-1.27091413655064,-5.1634421359409
40742,33934,6808,-1.32066514762965,-5.1160377480767
41193,34059,7134,-1.36811313547871,-5.01853814450177
41564,34178,7386,-1.41492810926654,-4.96331299326637
41906,34281,7625,-1.46083424226804,-4.90066118836403
42279,34407,7872,-1.50272780656815,-4.83558238175782
42672,34501,8171,-1.54771673435515,-4.74594629352743
42989,34623,8366,-1.58717424273491,-4.69410036639734
43357,34760,8597,-1.62370164015076,-4.63327771696177
