"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
21000,30210,-9210,1.56595416069031,-6.42628896886652
21263,30236,-8973,1.49812874143774,-6.47416440356862
21552,30298,-8746,1.43317483013326,-6.53276282007044
21858,30279,-8421,1.3606483318589,-6.54761340618134
22086,30272,-8186,1.28889278932051,-6.5970996835015
22475,30303,-7828,1.22033537843011,-6.58570782921531
22801,30360,-7559,1.15356192697178,-6.633440340649
23205,30397,-7192,1.08453750285235,-6.62997239936482
23501,30418,-6917,1.01325566660274,-6.69091866449876
23831,30462,-6631,0.942940727147189,-6.74822438196702
24366,30514,-6148,0.872836787592281,-6.70942927490581
24731,30538,-5807,0.799812816489826,-6.74750198342583
25182,30613,-5431,0.730820576711134,-6.77054329351945
25680,30679,-4999,0.659879968924956,-6.76499482501637
26306,30722,-4416,0.58636764829809,-6.6911218307235
26806,30804,-3998,0.514751211621545,-6.70462628169493
27367,30853,-3486,0.440115536342968,-6.6669796212153
27960,30907,-2947,0.364773576367985,-6.60549835616892
28404,30925,-2521,0.286469292098826,-6.60043682726947
29083,31072,-1989,0.218380876562812,-6.54314468557184
29653,31106,-1453,0.140329655463045,-6.47854591608048
30196,31172,-976,0.0646892737258564,-6.43299190131101
30754,31240,-486,-0.0107082469896837,-6.38268355347893
31320,31384,-64,-0.0796068494970148,-6.35191620046442
31959,31436,523,-0.156258602304892,-6.23341802900488
32338,31458,880,-0.234810102527792,-6.21683003739877
32915,31537,1378,-0.30866894884543,-6.12471550594677
33414,31601,1813,-0.383622919700362,-6.06405097896403
34006,31693,2313,-0.455377366055142,-5.96119952743704
34552,31805,2747,-0.523636701703072,-5.87367131114006
35099,31903,3196,-0.592586789618839,-5.77921094081619
35661,32048,3613,-0.656867197697813,-5.69454000429674
36289,32162,4127,-0.722755430503325,-5.55425787784837
36731,32217,4514,-0.791767978939143,-5.46511879400773
37241,32305,4936,-0.856754493713379,-5.3622368238189
37717,32432,5285,-0.917594843019139,-5.2885340728543
38162,32521,5641,-0.979554573243314,-5.20562133030458
38602,32625,5977,-1.03882322717797,-5.12421748042107
39121,32732,6389,-1.09653404057026,-5.006854340705
39530,32846,6684,-1.15189397362146,-4.93964432803067
40064,32948,7116,-1.20690186755224,-4.80100945071741
40443,33100,7343,-1.25646369457245,-4.76537265560844
40952,33229,7723,-1.30627305019986,-4.64450719898397
41506,33341,8165,-1.35482480092482,-4.49983051094142
