"total_rewards","action_rewards","opinion_rewards","sp0_social_trust","sp1_social_trust","sp2_social_trust","sp0_request_rate","sp1_request_rate","sp2_request_rate","op0_expression_rate","op1_expression_rate","op2_expression_rate","op3_expression_rate","op4_expression_rate","op5_expression_rate","mean_loss1","mean_loss2","sp0_availability","sp1_availability","sp2_availability"
29816,30287,-471,0.702100886131882,0.714686758599703,0.734765209198304,33.2545454545455,33.4509090909091,33.2945454545455,16.6145454545455,16.7763636363636,16.4818181818182,16.2818181818182,17.2418181818182,16.6036363636364,1.60059145580639,-2.01072437112982,0.828654545454545,0.855436363636364,0.886145454545455
30289,30305,-16,0.701732968077125,0.714773530650995,0.734814402739311,33.2072727272727,33.4072727272727,33.3854545454545,16.4545454545455,16.9490909090909,16.3036363636364,16.4545454545455,17.0709090909091,16.7672727272727,1.5312094449997,-1.93032224991105,0.828654545454545,0.855436363636364,0.886145454545455
30736,30357,379,0.701648388299492,0.714575065201535,0.735184405984659,33.1763636363636,33.3345454545455,33.4890909090909,16.32,17.0818181818182,16.16,16.5818181818182,16.9036363636364,16.9527272727273,1.46482110131871,-1.87136797579852,0.828654545454545,0.855436363636364,0.886145454545455
31264,30371,893,0.701402462581433,0.714124930313439,0.735170668536368,33.1072727272727,33.32,33.5727272727273,16.1109090909091,17.2963636363636,16,16.7309090909091,16.7218181818182,17.14,1.39491768750277,-1.75877992077307,0.828654545454545,0.855436363636364,0.886145454545455
31657,30415,1242,0.70121633085876,0.713824821253709,0.735497659142115,33.0818181818182,33.2636363636364,33.6545454545455,15.9927272727273,17.3854545454545,15.8472727272727,16.8636363636364,16.6127272727273,17.2981818181818,1.327572880008,-1.7275429178368,0.828654545454545,0.855436363636364,0.886145454545455
32153,30491,1662,0.701065636132428,0.713717649535085,0.735698191784509,33.0436363636364,33.2236363636364,33.7327272727273,15.8418181818182,17.5109090909091,15.7145454545455,17.0163636363636,16.4963636363636,17.42,1.26209118908102,-1.66014564362439,0.828654545454545,0.855436363636364,0.886145454545455
32690,30590,2100,0.70102237831196,0.713701801441564,0.735869219829504,33.0018181818182,33.1963636363636,33.8018181818182,15.7054545454545,17.6309090909091,15.5745454545455,17.1636363636364,16.3163636363636,17.6090909090909,1.19842310493643,-1.58748932534998,0.828654545454545,0.855436363636364,0.886145454545455
33168,30616,2552,0.700613910008807,0.713631457024719,0.735897121994169,32.9290909090909,33.1872727272727,33.8836363636364,15.54,17.7909090909091,15.3709090909091,17.3381818181818,16.14,17.82,1.12755782170729,-1.51028350754218,0.828654545454545,0.855436363636364,0.886145454545455
33592,30608,2984,0.700140718091638,0.713492672883615,0.735943287529896,32.8654545454545,33.1727272727273,33.9618181818182,15.3745454545455,17.9181818181818,15.22,17.5418181818182,15.9436363636364,18.0018181818182,1.0527595075694,-1.44350941560485,0.828654545454545,0.855436363636364,0.886145454545455
34102,30691,3411,0.699810025328184,0.713865665251016,0.735978075160189,32.7727272727273,33.1945454545455,34.0327272727273,15.2018181818182,18.0581818181818,15.0581818181818,17.7127272727273,15.7981818181818,18.1709090909091,0.985719457539645,-1.38602122501893,0.828654545454545,0.855436363636364,0.886145454545455
34685,30785,3900,0.699679553725127,0.713666398602638,0.736077454465175,32.7363636363636,33.1381818181818,34.1254545454545,15.0327272727273,18.1763636363636,14.9290909090909,17.8709090909091,15.64,18.3509090909091,0.918092973123897,-1.28953293941238,0.828654545454545,0.855436363636364,0.886145454545455
35163,30841,4322,0.699602570544383,0.713198965527572,0.73631216022919,32.7090909090909,33.06,34.2309090909091,14.8818181818182,18.3090909090909,14.7545454545455,18.0509090909091,15.4345454545455,18.5690909090909,0.84657678658312,-1.23611248027195,0.828654545454545,0.855436363636364,0.886145454545455
