"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
22727,31868,-9141,1.72758031758395,-6.40348625616594
22971,31844,-8873,1.65606178045273,-6.43660736950961
23199,31851,-8652,1.58709098642523,-6.49475738785484
23501,31867,-8366,1.51859407424927,-6.52469109405171
23802,31950,-8148,1.45540143468163,-6.58721974979747
24143,31987,-7844,1.38789869438518,-6.61198688853871
24503,31980,-7477,1.31569971496409,-6.61362535086545
24773,32031,-7258,1.24785300709985,-6.69495043321089
25191,32083,-6892,1.18003034700047,-6.70050083723935
25624,32153,-6529,1.11281148628755,-6.72582382288846
26064,32178,-6114,1.04089718406851,-6.72911086082459
26421,32201,-5780,0.9678389321674,-6.76935590397228
27020,32263,-5243,0.897610961307179,-6.71577391407707
27558,32337,-4779,0.827575622905384,-6.69586440433155
28022,32412,-4390,0.756633222644979,-6.71729583956979
28495,32446,-3951,0.682041961496527,-6.71476145007394
29034,32454,-3420,0.604230100458318,-6.66279101371765
29683,32521,-2838,0.530286876721816,-6.58198544220491
30313,32651,-2338,0.462251966107975,-6.53934546383944
30805,32689,-1884,0.385500796816566,-6.5101988510652
31379,32740,-1361,0.309837569973686,-6.45112691142342
31923,32818,-895,0.235078107226979,-6.40577163913033
32498,32878,-380,0.159023198756305,-6.33649323636835
33072,32908,164,0.0806344590403817,-6.23896959586577
33621,33038,583,0.0109214411540465,-6.20000778111545
34170,33142,1028,-0.0603979850357229,-6.14804169535637
34800,33233,1567,-0.133158193122257,-6.03697889555584
35329,33353,1976,-0.20238905088468,-5.97545615380461
35818,33362,2456,-0.280252909389409,-5.88302803256295
36270,33443,2827,-0.350959325649522,-5.82718997326764
36727,33518,3209,-0.421781102635644,-5.76141866933216
37211,33616,3595,-0.489768410812725,-5.69178879152645
37740,33717,4023,-0.555631074309349,-5.58864341757514
38119,33800,4319,-0.623007084835659,-5.546185311946
38559,33874,4685,-0.688589541749521,-5.47325856306336
38926,33939,4987,-0.754181603410027,-5.41853217374195
39392,34022,5370,-0.817002321915193,-5.3189985844222
39715,34090,5625,-0.879433313283053,-5.27026938633485
40106,34200,5906,-0.936651434410702,-5.20907111438838
40474,34325,6149,-0.99142773584886,-5.16516113172878
40928,34418,6510,-1.04659486927769,-5.06036241271279
41307,34472,6835,-1.10345189896497,-4.98253130208362
41610,34566,7044,-1.15531048178673,-4.9397134558721
41898,34646,7252,-1.20677093429999,-4.89947376576337
